AM: Column headings for HR-reporting


MANDT	 WERKS	 ZREPTP	 ZCOLNR	 ZCOLHD
X	 X	 X	 X	
Client	 Plant	 AM: Type of HR-report	 AM: Column number	 AM: Column header
MANDT-CLNT(3)	 WERKS-CHAR(4)	 CHAR50-CHAR(50)	 ZCHAR3-CHAR(3)	 CHAR20S-CHAR(20)
100	 ADEA	 TIME REPORT	 001	 Fahrtkosten
100	 ADEA	 TIME REPORT	 002	 Zusatzkosten
100	 ADEA	 TIME REPORT	 003	 Reisespesen
100	 ADEA	 TIME REPORT	 004	 Fremdrechnung
100	 ADEA	 TIME REPORT	 005	 Labour
100	 ADEA	 TIME REPORT	 006	 Labour #-Std 125%
100	 ADEA	 TIME REPORT	 007	 Labour #-Std 150%
100	 ADEA	 TIME REPORT	 008	 Travel
100	 ADEA	 TIME REPORT	 009	 Travel #-Std 125%
100	 ADEA	 TIME REPORT	 010	 Travel #-Std 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 001	 Trajet
100	 AFRA	 LEGAL TIME MANAGEMENT	 002	 Travail
100	 AFRA	 LEGAL TIME MANAGEMENT	 003	 Trajet 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 004	 Travail 150%
100	 AFRA	 LEGAL TIME MANAGEMENT	 005	 Trajet 200%
100	 AFRA	 LEGAL TIME MANAGEMENT	 006	 Travail 200%
100	 AFRA	 LEGAL TIME MANAGEMENT	 007	 Trajet 300%
100	 AFRA	 LEGAL TIME MANAGEMENT	 008	 Travail 300%
100	 AFRA	 LEGAL TIME MANAGEMENT	 009	 Congés
100	 AFRA	 LEGAL TIME MANAGEMENT	 010	 Maladie
100	 AFRA	 LEGAL TIME MANAGEMENT	 011	 Surveillance
100	 AFRA	 LEGAL TIME MANAGEMENT	 012	 Nettoyage
100	 AFRA	 LEGAL TIME MANAGEMENT	 013	 Formation
100	 AFRA	 LEGAL TIME MANAGEMENT	 014	 Visite client
100	 AFRA	 LEGAL TIME MANAGEMENT	 015	 Réunion d'équipe
100	 AFRA	 LEGAL TIME MANAGEMENT	 016	 RHS
100	 AFRA	 LEGAL TIME MANAGEMENT	 017	 Congés exceptionnels
100	 AFRA	 LEGAL TIME MANAGEMENT	 018	 Heures d'attente
100	 AFRA	 LEGAL TIME MANAGEMENT	 019	 Délégation
100	 AFRA	 LEGAL TIME MANAGEMENT	 020	 Safety Procedure
100	 AFRA	 LEGAL TIME MANAGEMENT	 021	 Total heures NP
100	 AFRA	 PROD ON FSE LEVEL	 001	 Labour Site
100	 AFRA	 PROD ON FSE LEVEL	 002	 Labour Workshop
100	 AFRA	 PROD ON FSE LEVEL	 003	 Safety Procedure
100	 AFRA	 PROD ON FSE LEVEL	 004	 Total Labour Site
100	 AFRA	 PROD ON FSE LEVEL	 005	 Labour Travel
100	 AFRA	 PROD ON FSE LEVEL	 006	 Branch maintenance
100	 AFRA	 PROD ON FSE LEVEL	 007	 Branch Workshop
100	 AFRA	 PROD ON FSE LEVEL	 008	 Customer visit
100	 AFRA	 PROD ON FSE LEVEL	 009	 Supervision
100	 AFRA	 PROD ON FSE LEVEL	 010	 Training
100	 AFRA	 PROD ON FSE LEVEL	 011	 Union
100	 AFRA	 PROD ON FSE LEVEL	 012	 Total non productive
100	 AFRA	 PROD ON FSE LEVEL	 013	 Holiday
100	 AFRA	 PROD ON FSE LEVEL	 014	 Sick
100	 AFRA	 PROD ON FSE LEVEL	 015	 Total absence
