AM: Profit center det. for Non Ccare and Int. Service Repair


MANDT	 REFID	 PLCID	 BEMOT	 PRCTR
X	 X	 X	 X	
Client	 AM: Service Order Reference type	 AM: PLC id	 Accounting Indicator	 Profit Center
MANDT-CLNT(3)	 VBTYP-CHAR(1)	 YAM_PLCID-CHAR(1)	 BEMOT-CHAR(2)	 PRCTR-CHAR(10)
100	 	 1	 CH	 16AOACAOAC
100	 	 1	 FP	 16AOACAOAC
100	 	 2	 CH	 16AOACAOAC
100	 	 2	 FP	 16AOACAOAC
100	 	 2	 GW	 128SGCSGCA
100	 	 6	 CH	 16AOACAOAC
100	 	 6	 WG	 16APACAPAC
100	 G	 1	 	 16APACAPAC
100	 G	 2	 	 16APACAPAC
100	 G	 6	 	 16APACAPAC
