AM: Partial Shipment Flag


MANDT	 ZIQIDX	 ZOILTYPE	 ZLITERS	 ZDESCR	 ZPARTNR
X	 X	 X	 X	 	
Client	 IQ index	 Oil type (IQ)	 Liters (IQ)	 Oil type description (IQ)	 Partnumber (IQ)
MANDT-CLNT(3)	 CHAR2-CHAR(2)	 CHAR15K-CHAR(15)	 DEC03_2-DEC(5)	 TEXT30-CHAR(30)	 MATNR-CHAR(18)
100	 10	 Lpiston	 1.00 	 Lpiston1	 000000001503614263
100	 10	 Lpiston	 5.00 	 Lpiston5	 000000002901179100
100	 11	 Paroil S	 5.00 	 Paroil S5	 000000001630016000
100	 11	 Paroil S	 20.00 	 Paroil S20	 000000001630016100
100	 11	 Paroil S	 209.00 	 Paroil S209	 000000001630016200
100	 12	 Roto-Xtend	 5.00 	 Roto-Xtend5	 000000002901170000
100	 12	 Roto-Xtend	 20.00 	 Roto-Xtend20	 000000002901170100
100	 12	 Roto-Xtend	 209.00 	 Roto-Xtend209	 000000002901170200
100	 13	 UNI-inject	 20.00 	 UNI-inject20	 000000002901170400
100	 14	 UNI-XD PAG	 3.78 	 UNI-XD PAG3,78	 000000002901170700
100	 14	 UNI-XD PAG	 19.00 	 UNI-XD PAG19	 000000002901170600
100	 14	 UNI-XD PAG	 209.00 	 UNI-XD PAG209	 000000002901170800
100	 15	 Paroil-M	 5.00 	 Paroil-M5	 000000001615594700
100	 15	 Paroil-M	 20.00 	 Paroil-M20	 000000001615594800
100	 15	 Paroil-M	 209.00 	 Paroil-M209	 000000001615594900
100	 16	 Paroil Sxtreme	 20.00 	 Paroil Sxtreme20	 000000001630018000
100	 16	 Paroil Sxtreme	 209.00 	 Paroil Sxtreme209	 000000001630018100
100	 17	 Paroil-E	 5.00 	 Paroil-E5	 000000001615595300
100	 17	 Paroil-E	 20.00 	 Paroil-E20	 000000001615595400
100	 17	 Paroil-E	 209.00 	 Paroil-E209	 000000001615595500
100	 18	 Paroil Extra	 5.00 	 Paroil Extra5	 000000001630013500
100	 18	 Paroil Extra	 20.00 	 Paroil Extra20	 000000001630013600
100	 19	 Mineral Vacuum	 5.00 	 Mineral Vacuum oil5	 000000002901182810
100	 2	 Roto-inject	 5.00 	 Roto-inject5	 000000002901024501
100	 2	 Roto-inject	 20.00 	 Roto-inject20	 000000002901052200
100	 2	 Roto-inject	 209.00 	 Roto-inject209	 000000002901004501
100	 20	 Synthetic Vacuu	 5.00 	 Synthetic Vacuum oil5	 000000002901183110
100	 4	 Roto HPlus	 19.00 	 Roto HPlus19	 000000002908850700
100	 4	 Roto HPlus	 209.00 	 Roto HPlus209	 000000002908850800
100	 5	 Roto-Z	 5.00 	 Roto-Z5	 000000002908850300
100	 5	 Roto-Z	 20.00 	 Roto-Z20	 000000002908850101
100	 5	 Roto-Z	 209.00 	 Roto-Z209	 000000002908850000
100	 6	 Roto-M	 1.00 	 Roto-M1	 000000002908850600
100	 8	 Food Grade	 20.00 	 Food Grade20	 000000002901069010
100	 8	 Food Grade	 209.00 	 Food Grade209	 000000002901069020
100	 9	 Recip	 20.00 	 Recip20	 000000001901055534
100	 9	 Recip	 209.00 	 Recip209	 000000001901055535
