AM: KPI assignment to Org. Level


MANDT	 KPITY	 KPIFR	 VKORG	 BUKRS	 TRESHOLD2	 TRESHOLD3
X	 X	 X	 X	 X	 	
Client	 AM: KPI type	 AM: KPI formula	 Sales Organization	 Company Code	 SD Monitor: Threshold yellow	 SD Monitor:  Threshold red
MANDT-CLNT(3)	 YAM_KPITY-CHAR(1)	 NUMC(3)	 VKORG-CHAR(4)	 BUKRS-CHAR(4)	 SDMONITHRE-DEC(16)	 SDMONITHRE-DEC(16)
100	 C	 001	 ADEA	 	 0.0000 	 0.0000
100	 C	 001	 AFRA	 	 0.0000 	 0.0000
100	 C	 001	 BGAA	 	 0.0000 	 0.0000
100	 C	 001	 CHAA	 	 0.0000 	 0.0000
100	 C	 001	 CPRA	 	 0.0000 	 0.0000
100	 C	 001	 ESAA	 	 0.0000 	 0.0000
100	 C	 001	 GBAA	 	 0.0000 	 0.0000
100	 C	 001	 IYAA	 	 0.0000 	 0.0000
100	 C	 001	 NLAA	 	 0.0000 	 0.0000
100	 C	 001	 NNAA	 	 0.0000 	 0.0000
100	 C	 002	 ADEA	 	 0.0000 	 0.0000
100	 C	 002	 AFRA	 	 0.0000 	 0.0000
100	 C	 002	 BGAA	 	 0.0000 	 0.0000
100	 C	 002	 CHAA	 	 0.0000 	 0.0000
100	 C	 002	 CPRA	 	 0.0000 	 0.0000
100	 C	 002	 ESAA	 	 0.0000 	 0.0000
100	 C	 002	 GBAA	 	 0.0000 	 0.0000
100	 C	 002	 IYAA	 	 0.0000 	 0.0000
100	 C	 002	 NLAA	 	 0.0000 	 0.0000
100	 C	 002	 NNAA	 	 0.0000 	 0.0000
100	 C	 003	 ADEA	 	 0.0000 	 0.0000
100	 C	 003	 AFRA	 	 0.0000 	 0.0000
100	 C	 003	 BGAA	 	 0.0000 	 0.0000
100	 C	 003	 CHAA	 	 0.0000 	 0.0000
100	 C	 003	 CPRA	 	 0.0000 	 0.0000
100	 C	 003	 ESAA	 	 0.0000 	 0.0000
100	 C	 003	 GBAA	 	 0.0000 	 0.0000
100	 C	 003	 IYAA	 	 0.0000 	 0.0000
100	 C	 003	 NLAA	 	 0.0000 	 0.0000
100	 C	 003	 NNAA	 	 0.0000 	 0.0000
100	 C	 004	 ADEA	 	 0.0000 	 0.0000
100	 C	 004	 AFRA	 	 0.0000 	 0.0000
100	 C	 004	 BGAA	 	 0.0000 	 0.0000
100	 C	 004	 CHAA	 	 0.0000 	 0.0000
100	 C	 004	 CPRA	 	 0.0000 	 0.0000
100	 C	 004	 ESAA	 	 0.0000 	 0.0000
100	 C	 004	 GBAA	 	 0.0000 	 0.0000
100	 C	 004	 IYAA	 	 0.0000 	 0.0000
100	 C	 004	 NLAA	 	 0.0000 	 0.0000
100	 C	 004	 NNAA	 	 0.0000 	 0.0000
100	 C	 005	 ADEA	 	 0.0000 	 0.0000
100	 C	 005	 AFRA	 	 0.0000 	 0.0000
100	 C	 005	 BGAA	 	 0.0000 	 0.0000
100	 C	 005	 CHAA	 	 0.0000 	 0.0000
100	 C	 005	 CPRA	 	 0.0000 	 0.0000
100	 C	 005	 ESAA	 	 0.0000 	 0.0000
100	 C	 005	 GBAA	 	 0.0000 	 0.0000
100	 C	 005	 IYAA	 	 0.0000 	 0.0000
100	 C	 005	 NLAA	 	 0.0000 	 0.0000
100	 C	 005	 NNAA	 	 0.0000 	 0.0000
100	 C	 006	 ADEA	 	 0.0000 	 0.0000
100	 C	 006	 AFRA	 	 0.0000 	 0.0000
100	 C	 006	 BGAA	 	 0.0000 	 0.0000
100	 C	 006	 CHAA	 	 0.0000 	 0.0000
100	 C	 006	 CPRA	 	 0.0000 	 0.0000
100	 C	 006	 ESAA	 	 0.0000 	 0.0000
100	 C	 006	 GBAA	 	 0.0000 	 0.0000
100	 C	 006	 IYAA	 	 0.0000 	 0.0000
100	 C	 006	 NLAA	 	 0.0000 	 0.0000
100	 C	 006	 NNAA	 	 0.0000 	 0.0000
100	 N	 001	 	 ADEA	 0.0000 	 0.0000
100	 N	 001	 	 AFRA	 0.0000 	 0.0000
100	 N	 001	 	 BGAA	 0.0000 	 0.0000
100	 N	 001	 	 CHAA	 0.0000 	 0.0000
100	 N	 001	 	 CPRA	 0.0000 	 0.0000
100	 N	 001	 	 ESAA	 0.0000 	 0.0000
100	 N	 001	 	 GBAA	 0.0000 	 0.0000
100	 N	 001	 	 IYAA	 0.0000 	 0.0000
100	 N	 001	 	 NLAA	 0.0000 	 0.0000
100	 N	 001	 	 NNAA	 0.0000 	 0.0000
100	 N	 002	 	 ADEA	 0.0000 	 0.0000
100	 N	 002	 	 AFRA	 0.0000 	 0.0000
100	 N	 002	 	 BGAA	 0.0000 	 0.0000
100	 N	 002	 	 CHAA	 0.0000 	 0.0000
100	 N	 002	 	 CPRA	 0.0000 	 0.0000
100	 N	 002	 	 ESAA	 0.0000 	 0.0000
100	 N	 002	 	 GBAA	 0.0000 	 0.0000
100	 N	 002	 	 IYAA	 0.0000 	 0.0000
100	 N	 002	 	 NLAA	 0.0000 	 0.0000
100	 N	 002	 	 NNAA	 0.0000 	 0.0000
100	 N	 003	 	 ADEA	 0.0000 	 0.0000
