AM: KPI formulas


MANDT	 KPITY	 KPIFR	 KPIGR	 ORG_LEVEL	 AKTIV	 GNDAT	 GNZEI
X	 X	 X	 	 	 	 	
Client	 AM: KPI type	 AM: KPI formula	 AM: KPI group	 AM: KPI organizational level	 Routine has been activated	 Date of last generation	 Time of last generation
MANDT-CLNT(3)	 YAM_KPITY-CHAR(1)	 NUMC(3)	 YAM_KPIGR-CHAR(1)	 YAM_ORG_LEVEL-CHAR(1)	 XFELD-CHAR(1)	 DATUM-DATS(8)	 UZEIT-TIMS(6)
100	 C	 001	 3	 V	 	 00000000	 000000
100	 C	 002	 3	 V	 	 00000000	 000000
100	 C	 003	 3	 V	 	 00000000	 000000
100	 C	 004	 3	 V	 	 00000000	 000000
100	 C	 005	 3	 V	 	 00000000	 000000
100	 C	 006	 3	 V	 	 00000000	 000000
100	 N	 001	 3	 B	 	 00000000	 000000
100	 N	 002	 3	 B	 	 00000000	 000000
100	 N	 003	 3	 B	 	 00000000	 000000
100	 N	 004	 1	 B	 	 00000000	 000000
100	 N	 005	 1	 B	 	 00000000	 000000
100	 N	 006	 2	 B	 	 00000000	 000000
100	 N	 007	 2	 B	 	 00000000	 000000
100	 N	 008	 2	 V	 	 00000000	 000000
100	 N	 009	 2	 B	 	 00000000	 000000
100	 N	 010	 3	 B	 	 00000000	 000000
100	 N	 011	 2	 B	 	 00000000	 000000
100	 N	 012	 2	 B	 	 00000000	 000000
100	 N	 013	 2	 B	 	 00000000	 000000
100	 N	 014	 2	 B	 	 00000000	 000000
100	 N	 015	 2	 V	 	 00000000	 000000
100	 N	 016	 2	 V	 	 00000000	 000000
