Measuring points - characteristics


MANDT	 ZCOLNR	 ZVALUE	 ATNAM	 INDCT
X	 X	 X	 	
Client	 AM: Column number	 Position	 Characteristic Name	 Indicator to Show that Measuring Point Is a Counter
MANDT-CLNT(3)	 ZCHAR3-CHAR(3)	 ZCHAR3-CHAR(3)	 ATNAM-CHAR(30)	 X-CHAR(1)
100	 	 	 	 X
100	 001	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 001	 015	 ZAM_RHRSTOTAL	 X
100	 002	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 002	 015	 ZAM_RHRSTOTAL	 X
100	 002	 020	 ZAM_FUELLEVEL	
100	 002	 040	 ZAM_WORKPRESS	
100	 002	 060	 ZAM_AMBTEMP	
100	 003	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 003	 015	 ZAM_RHRSTOTAL	 X
100	 003	 790	 ZAM_COOLWATER_IN	
100	 003	 820	 ZAM_COOLWATER_OUT	
100	 004	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 004	 015	 ZAM_RHRSTOTAL	 X
100	 004	 040	 ZAM_WORKPRESS	
100	 004	 060	 ZAM_AMBTEMP	
100	 004	 070	 ZAM_DPAIRFILTER	
100	 005	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 005	 015	 ZAM_RHRSTOTAL	 X
100	 005	 040	 ZAM_WORKPRESS	
100	 005	 060	 ZAM_AMBTEMP	
100	 005	 450	 ZAM_PRESSDEWP	
100	 006	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 006	 015	 ZAM_RHRSTOTAL	 X
100	 006	 040	 ZAM_WORKPRESS	
100	 006	 060	 ZAM_AMBTEMP	
100	 006	 460	 ZAM_LAT	
100	 007	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 007	 015	 ZAM_RHRSTOTAL	 X
100	 007	 020	 ZAM_FUELLEVEL	
100	 007	 040	 ZAM_WORKPRESS	
100	 007	 060	 ZAM_AMBTEMP	
100	 007	 350	 ZAM_OILPRESS	
100	 007	 920	 ZAM_OILPRESS_DIESELENGINE	
100	 007	 922	 ZAM_COOLTEMP_DIESELENGINE	
100	 008	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 008	 015	 ZAM_RHRSTOTAL	 X
100	 008	 040	 ZAM_WORKPRESS	
100	 008	 060	 ZAM_AMBTEMP	
100	 008	 760	 ZAM_MOTOR_CURRENT_U1	
100	 008	 770	 ZAM_MOTOR_CURRENT_V1	
100	 008	 780	 ZAM_MOTOR_CURRENT_W1	
100	 009	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 009	 015	 ZAM_RHRSTOTAL	 X
100	 009	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 009	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 009	 033	 ZAM_VSD_40-60_PERC_RPM	
100	 009	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 009	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 009	 660	 ZAM_SPMMOTDE	
100	 009	 670	 ZAM_SPMLMOTNDE	
100	 009	 680	 ZAM_SPMELTP1	
100	 009	 690	 ZAM_SPMELTP2	
100	 009	 720	 ZAM_SPMGEARBOX	
100	 010	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 010	 015	 ZAM_RHRSTOTAL	 X
100	 010	 040	 ZAM_WORKPRESS	
100	 010	 060	 ZAM_AMBTEMP	
100	 010	 460	 ZAM_LAT	
100	 010	 760	 ZAM_MOTOR_CURRENT_U1	
100	 010	 770	 ZAM_MOTOR_CURRENT_V1	
100	 010	 780	 ZAM_MOTOR_CURRENT_W1	
100	 011	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 011	 015	 ZAM_RHRSTOTAL	 X
100	 011	 040	 ZAM_WORKPRESS	
100	 011	 060	 ZAM_AMBTEMP	
100	 011	 100	 ZAM_OUTLTEMP_ELT1	
100	 011	 460	 ZAM_LAT	
100	 011	 760	 ZAM_MOTOR_CURRENT_U1	
100	 011	 770	 ZAM_MOTOR_CURRENT_V1	
100	 011	 780	 ZAM_MOTOR_CURRENT_W1	
100	 012	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 012	 015	 ZAM_RHRSTOTAL	 X
100	 012	 040	 ZAM_WORKPRESS	
100	 012	 060	 ZAM_AMBTEMP	
100	 012	 450	 ZAM_PRESSDEWP	
100	 012	 470	 ZAM_DINLTEMP	
100	 012	 480	 ZAM_DOUTLTEMP	
100	 012	 494	 ZAM_TOWER_A_PRESS	
100	 012	 496	 ZAM_TOWER_B_PRESS	
100	 013	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 013	 015	 ZAM_RHRSTOTAL	 X
100	 013	 040	 ZAM_WORKPRESS	
100	 013	 060	 ZAM_AMBTEMP	
100	 013	 460	 ZAM_LAT	
100	 013	 470	 ZAM_DINLTEMP	
100	 013	 472	 ZAM_DEVAPORATING	
100	 013	 474	 ZAM_DCONDENSING	
100	 013	 480	 ZAM_DOUTLTEMP	
100	 014	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 014	 015	 ZAM_RHRSTOTAL	 X
100	 014	 020	 ZAM_RHRSLOADED	
100	 014	 040	 ZAM_WORKPRESS	
100	 014	 060	 ZAM_AMBTEMP	
100	 014	 100	 ZAM_OUTLTEMP_ELT1	
100	 014	 460	 ZAM_LAT	
100	 014	 760	 ZAM_MOTOR_CURRENT_U1	
100	 014	 770	 ZAM_MOTOR_CURRENT_V1	
100	 014	 780	 ZAM_MOTOR_CURRENT_W1	
100	 015	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 015	 015	 ZAM_RHRSTOTAL	 X
100	 015	 020	 ZAM_RHRSLOADED	
100	 015	 021	 ZAM_RHRSLOADED_E2	
100	 015	 022	 ZAM_RHRSLOADED_E3	
100	 015	 023	 ZAM_RHRSLOADED_E4	
100	 015	 040	 ZAM_WORKPRESS	
100	 015	 060	 ZAM_AMBTEMP	
100	 015	 100	 ZAM_OUTLTEMP_ELT1	
100	 015	 140	 ZAM_OUTLTEMP_ELT2	
100	 015	 460	 ZAM_LAT	
100	 015	 760	 ZAM_MOTOR_CURRENT_U1	
100	 015	 770	 ZAM_MOTOR_CURRENT_V1	
100	 015	 780	 ZAM_MOTOR_CURRENT_W1	
100	 016	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 016	 015	 ZAM_RHRSTOTAL	 X
100	 016	 024	 ZAM_MOTORSTART	
100	 016	 030	 ZAM_ACCVOL	
100	 016	 031	 ZAM_VSD_1-20_PERC_RPM	
100	 016	 032	 ZAM_VSD_20-40_PERC_RPM	
100	 016	 033	 ZAM_VSD_40-60_PERC_RPM	
100	 016	 034	 ZAM_VSD_60-80_PERC_RPM	
100	 016	 035	 ZAM_VSD_80-100_PERC_RPM	
100	 016	 040	 ZAM_WORKPRESS	
100	 016	 060	 ZAM_AMBTEMP	
100	 016	 100	 ZAM_OUTLTEMP_ELT1	
100	 016	 460	 ZAM_LAT	
100	 016	 760	 ZAM_MOTOR_CURRENT_U1	
100	 016	 770	 ZAM_MOTOR_CURRENT_V1	
100	 016	 780	 ZAM_MOTOR_CURRENT_W1	
100	 017	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 017	 015	 ZAM_RHRSTOTAL	 X
100	 017	 040	 ZAM_WORKPRESS	
100	 017	 060	 ZAM_AMBTEMP	
100	 017	 450	 ZAM_PRESSDEWP	
100	 017	 500	 ZAM_REGENINLTEMP	
100	 017	 510	 ZAM_REGENOUTLTEMP	
100	 017	 520	 ZAM_COMPROUTLDINLTEMP	
100	 017	 530	 ZAM_REGENINLDINLTEMP	
100	 017	 550	 ZAM_REGENAIRINLREGENAIROUTLET	
100	 017	 605	 ZAM_PDSEALSECTOR	
100	 018	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 018	 015	 ZAM_RHRSTOTAL	 X
100	 018	 660	 ZAM_SPMMOTDE	
100	 018	 670	 ZAM_SPMLMOTNDE	
100	 018	 680	 ZAM_SPMELTP1	
100	 018	 690	 ZAM_SPMELTP2	
100	 018	 700	 ZAM_SPMELTP3	
100	 018	 710	 ZAM_SPMELTP4	
100	 018	 712	 ZAM_SPMELTP5	
100	 018	 714	 ZAM_SPMELTP6	
100	 018	 720	 ZAM_SPMGEARBOX	
100	 019	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 019	 015	 ZAM_RHRSTOTAL	 X
100	 019	 020	 ZAM_RHRSLOADED	
100	 019	 022	 ZAM_50_PERC_LOADED	
100	 019	 024	 ZAM_MOTORSTART	
100	 019	 026	 ZAM_MODULEHOURS	
100	 019	 028	 ZAM_LOADRELAY	
100	 019	 029	 ZAM_LOADRELAY2	
100	 019	 040	 ZAM_WORKPRESS	
100	 019	 100	 ZAM_OUTLTEMP_ELT1	
100	 019	 140	 ZAM_OUTLTEMP_ELT2	
100	 019	 350	 ZAM_OILPRESS	
100	 020	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 020	 015	 ZAM_RHRSTOTAL	 X
100	 020	 020	 ZAM_RHRSLOADED	
100	 020	 022	 ZAM_50_PERC_LOADED	
100	 020	 024	 ZAM_MOTORSTART	
100	 020	 026	 ZAM_MODULEHOURS	
100	 020	 028	 ZAM_LOADRELAY	
100	 020	 029	 ZAM_LOADRELAY2	
100	 020	 040	 ZAM_WORKPRESS	
100	 020	 090	 ZAM_INLPRESS_ELT1	
100	 020	 100	 ZAM_OUTLTEMP_ELT1	
100	 020	 140	 ZAM_OUTLTEMP_ELT2	
100	 021	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 021	 015	 ZAM_RHRSTOTAL	 X
100	 021	 020	 ZAM_RHRSLOADED	
100	 021	 024	 ZAM_MOTORSTART	
100	 021	 026	 ZAM_MODULEHOURS	
100	 021	 028	 ZAM_LOADRELAY	
100	 021	 040	 ZAM_WORKPRESS	
100	 021	 090	 ZAM_INLPRESS_ELT1	
100	 021	 100	 ZAM_OUTLTEMP_ELT1	
100	 021	 140	 ZAM_OUTLTEMP_ELT2	
100	 021	 350	 ZAM_OILPRESS	
100	 021	 790	 ZAM_COOLWATER_IN	
100	 022	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 022	 015	 ZAM_RHRSTOTAL	 X
100	 022	 020	 ZAM_RHRSLOADED	
100	 022	 024	 ZAM_MOTORSTART	
100	 022	 026	 ZAM_MODULEHOURS	
100	 022	 040	 ZAM_WORKPRESS	
100	 022	 060	 ZAM_AMBTEMP	
100	 022	 460	 ZAM_LAT	
100	 022	 470	 ZAM_DINLTEMP	
100	 022	 472	 ZAM_DEVAPORATING	
100	 022	 474	 ZAM_DCONDENSING	
100	 022	 480	 ZAM_DOUTLTEMP	
100	 022	 960	 ZAM_REF1TEMP	
100	 022	 962	 ZAM_REFCOMPOUTTEMP	
100	 022	 964	 ZAM_HGBVSWITCHES	 X
100	 022	 966	 ZAM_FAN1STARTS	 X
100	 023	 010	 ZAM_RHRSTOTAL_ACT	 X
100	 023	 015	 ZAM_RHRSTOTAL	 X
100	 023	 020	 ZAM_RHRSLOADED	
100	 023	 021	 ZAM_RHRSLOADED_E2	
100	 023	 022	 ZAM_RHRSLOADED_E3	
100	 023	 023	 ZAM_RHRSLOADED_E4	
100	 023	 040	 ZAM_WORKPRESS	
100	 023	 060	 ZAM_AMBTEMP	
100	 023	 100	 ZAM_OUTLTEMP_ELT1	
100	 023	 140	 ZAM_OUTLTEMP_ELT2	
