AM: Speed delivery code


MANDT	 BUKRS	 ZZSDC	 ZZDEF
X	 X	 X	
Client	 Company Code	 AM: Speed delivery code	 AM: Default flag
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 ZZSDC-CHAR(2)	 ZZDEF-CHAR(1)
100	 ADEA	 EC	 X
100	 ADEA	 EX	
100	 ADEA	 TR	
100	 AFRA	 EC	 X
100	 AFRA	 EX	
100	 BGAA	 EC	 X
100	 BGAA	 EX	
100	 CHAA	 EC	 X
100	 CHAA	 EX	
100	 CPRA	 EC	 X
100	 CPRA	 EX	
100	 ESAA	 EC	 X
100	 ESAA	 EX	
100	 GBAA	 EC	 X
100	 GBAA	 EX	
100	 GBAA	 TR	
100	 IYAA	 EC	 X
100	 IYAA	 EX	
100	 NLAA	 EC	
100	 NLAA	 EX	 X
100	 NNAA	 EC	 X
100	 NNAA	 EX	
