AM: Transport Code texts


MANDT	 SPRAS	 BUKRS	 ZZTRC	 DESCR
X	 X	 X	 X	
Client	 Language Key	 Company Code	 AM: Transport Code	 Description
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZTRC-CHAR(2)	 TEXT30-CHAR(30)
100	 1	 ADEA	 01	 CIP
100	 1	 ADEA	 02	 DDU - frei
100	 1	 ADEA	 03	 EXW - unfrei
100	 1	 ADEA	 08	 frei Haus
100	 1	 ADEA	 33	 Contracting
100	 1	 ADEA	 40	 EXW - Spedition
100	 1	 ADEA	 41	 T.N.T.
100	 1	 ADEA	 50	 Selbstabholer
100	 1	 ADEA	 55	 NVS vor 9 Uhr
100	 1	 ADEA	 60	 Informationen folgen
100	 1	 ADEA	 70	 DHL
100	 1	 ADEA	 88	 T.N.T.
100	 1	 ADEA	 96	 FOB - DNH
100	 1	 AFRA	 10	 GROUPAGE FER
100	 1	 AFRA	 11	 FER
100	 1	 AFRA	 12	 FER EXPRESS
100	 1	 AFRA	 20	 BATEAU
100	 1	 AFRA	 30	 POSTE
100	 1	 AFRA	 31	 ECHANGE SANS VALEUR
100	 1	 AFRA	 40	 CAMION
100	 1	 AFRA	 41	 CAMION EXPRESS
100	 1	 AFRA	 50	 FRET AVION
100	 1	 AFRA	 51	 COLIS AVION
100	 1	 AFRA	 53	 GROUPAGE AVION
100	 1	 AFRA	 60	 APPELER AVANT EXPEDITION
100	 1	 AFRA	 65	 Code de test pour les kits
100	 1	 AFRA	 91	 AFFRETEMENT
100	 1	 AFRA	 92	 TNT EUROPE
100	 1	 AFRA	 93	 FRET INDUSTRIE
100	 1	 AFRA	 94	 GALLIKER DIRECT (AIRP-CLIENT)
100	 1	 AFRA	 95	 EXPORT
100	 1	 AFRA	 99	 ENLEVEMENT
100	 1	 BGAA	 30	 TRUCK AIRPOWER
100	 1	 BGAA	 32	 TNT BELGIUM
100	 1	 BGAA	 33	 TNT EUROPE
100	 1	 BGAA	 35	 TNT LUXEMBOURG
100	 1	 BGAA	 37	 AFHALING AIRPOWER
100	 1	 BGAA	 40	 HOESELT - 70kg / TNT AIRPOWER
100	 1	 BGAA	 41	 HOESELT + 70KG /SPEED AIRPOWER
100	 1	 BGAA	 47	 TNT - RDE
100	 1	 BGAA	 50	 AFHALING WAREHOUSE 01
100	 1	 BGAA	 55	 HOESELT DELIVERIES LUXEMBOURG
100	 1	 BGAA	 60	 WAITING FOR SHIP INSTRUCTIONS
100	 1	 BGAA	 99	 TNT INNIGHT
100	 1	 CHAA	 40	 Galliker truck
100	 1	 CHAA	 60	 Special instructions
100	 1	 CJAL	 60	 TEMPORARY HOLD
100	 1	 CODA	 60	 TEMPORARY HOLD
100	 1	 CONA	 60	 TEMPORARY HOLD
100	 1	 CPRA	 02	 DHL-DANZAS-ASG, bil
100	 1	 CPRA	 03	 SCHENKER, bil
100	 1	 CPRA	 05	 DFDS-TNT,bil
100	 1	 CPRA	 09	 H#MTNING
100	 1	 CPRA	 12	 J#RNV#G EXPRESS
100	 1	 CPRA	 20	 B#T
100	 1	 CPRA	 22	 F#RETAGSPAKET 09.00
100	 1	 CPRA	 23	 F#RETAGSPKT.D#RR-D#RR PKT.
100	 1	 CPRA	 24	 ASG-EXACT
100	 1	 CPRA	 50	 DDD FLYG
100	 1	 CPRA	 60	 HOLD FOR FURTHER INSTRUCTIONS
100	 1	 CQCA	 60	 TEMPORARY HOLD
100	 1	 CQZA	 60	 TEMPORARY HOLD
100	 1	 ESAA	 40	 Camion
100	 1	 ESAA	 50	 TNT
100	 1	 ESAA	 55	 AVION
100	 1	 ESAA	 58	 CAT ESPA#A   Pagado,cargo 1,5%
100	 1	 ESAA	 60	 Envios especiales
100	 1	 ESAA	 90	 CAT ESPA#A   Pagado,cargo 1,5%
100	 1	 ESAA	 91	 Envios especiales
100	 1	 GBAA	 09	 COLLECTION
100	 1	 GBAA	 10	 HELD
100	 1	 GBAA	 20	 CARRYFAST
100	 1	 GBAA	 22	 OUR TRANSPORT
100	 1	 GBAA	 23	 NEXT DAY SERVICE
100	 1	 GBAA	 25	 TNT
100	 1	 GBAA	 26	 LETTER POST
100	 1	 GBAA	 40	 DAILY AIRPOWER TRUCK
100	 1	 GBAA	 41	 TRUCK (NON AIRPOWER)
100	 1	 GBAA	 45	 DDD PAR
100	 1	 GBAA	 50	 AIRFREIGHT
100	 1	 GBAA	 52	 RED STAR
100	 1	 GBAA	 53	 A.M. SERVICE
100	 1	 GBAA	 60	 TEMPORARY HOLD
100	 1	 GBAA	 90	 REGIONAL SERVICE INDICATOR
100	 1	 HKGA	 60	 TEMPORARY HOLD
100	 1	 HKKA	 60	 TEMPORARY HOLD
100	 1	 IYAA	 10	 CARRO FERROVIARIO
100	 1	 IYAA	 11	 FERROVIA
100	 1	 IYAA	 12	 COLLO CELERE FERROVIARIO
100	 1	 IYAA	 20	 VIA MARE
100	 1	 IYAA	 30	 PACCO POSTALE
100	 1	 IYAA	 31	 CAMPIONE SENZA VALORE
100	 1	 IYAA	 40	 CAMION
100	 1	 IYAA	 41	 CAMION ESPRESSO
100	 1	 IYAA	 50	 VIA AEREA
100	 1	 IYAA	 51	 PACCO POSTALE AEREO
100	 1	 IYAA	 53	 AEREO CONSOLIDATO
100	 1	 IYAA	 55	 COURIER DOOR TO DOOR
100	 1	 IYAA	 60	 DA STABILIRE
100	 1	 NLAA	 10	 AFHALEN ZWIJNDRECHT
100	 1	 NLAA	 20	 LUCHTVRACHT
100	 1	 NLAA	 41	 TNT EXPRESS-SERVICE
100	 1	 NLAA	 42	 TNT-INNIGHT
100	 1	 NLAA	 43	 SPEEDCOLLI
100	 1	 NLAA	 50	 AIRFREIGHT
100	 1	 NLAA	 55	 DOOR TO DOOR
100	 1	 NLAA	 58	 AFHALEN AIRPOWER
100	 1	 NLAA	 60	 AIRPOWER WACHT OP INSTRUKTIES
100	 1	 NNAA	 00	 LOKALGODS
100	 1	 NNAA	 01	 DHL BIL
100	 1	 NNAA	 02	 Annen transport
100	 1	 NNAA	 03	 AC Bil
100	 1	 NNAA	 04	 Postens Bl#
100	 1	 NNAA	 05	 Flyfrakt
100	 1	 NNAA	 06	 Tollpost
100	 1	 NNAA	 09	 Hentes
100	 1	 NNAA	 19	 Postens R#dbl#
100	 1	 NNAA	 20	 B#T
100	 1	 NNAA	 23	 NSB Ekspress
100	 1	 NNAA	 40	 ASG Exact
100	 1	 NNAA	 50	 TNT FLY
100	 1	 NNAA	 60	 HOLD FOR FURTHER INSTRUCTIONS
100	 1	 POLA	 60	 TEMPORARY HOLD
100	 1	 SHTA	 60	 TEMPORARY HOLD
100	 1	 SSCA	 60	 TEMPORARY HOLD
100	 E	 ADEA	 01	 CIP
100	 E	 ADEA	 02	 DDU - frei
100	 E	 ADEA	 03	 EXW - unfrei
100	 E	 ADEA	 08	 frei Haus
100	 E	 ADEA	 33	 Contracting
100	 E	 ADEA	 40	 EXW - Spedition
100	 E	 ADEA	 41	 T.N.T.
100	 E	 ADEA	 50	 Selbstabholer
100	 E	 ADEA	 55	 NVS vor 9 Uhr
100	 E	 ADEA	 60	 Informationen folgen
100	 E	 ADEA	 70	 DHL
100	 E	 ADEA	 88	 T.N.T.
100	 E	 ADEA	 96	 FOB - DNH
100	 E	 AFRA	 10	 GROUPAGE FER
100	 E	 AFRA	 11	 FER
100	 E	 AFRA	 12	 FER EXPRESS
100	 E	 AFRA	 20	 BATEAU
100	 E	 AFRA	 30	 POSTE
100	 E	 AFRA	 31	 ECHANGE SANS VALEUR
100	 E	 AFRA	 40	 CAMION
100	 E	 AFRA	 41	 CAMION EXPRESS
100	 E	 AFRA	 50	 FRET AVION
100	 E	 AFRA	 51	 COLIS AVION
100	 E	 AFRA	 53	 GROUPAGE AVION
100	 E	 AFRA	 60	 APPELER AVANT EXPEDITION
100	 E	 AFRA	 65	 Code de test pour les kits
100	 E	 AFRA	 91	 AFFRETEMENT
100	 E	 AFRA	 92	 TNT EUROPE
100	 E	 AFRA	 93	 FRET INDUSTRIE
100	 E	 AFRA	 94	 GALLIKER DIRECT (AIRP-CLIENT)
