AM: Allowed Unit of measures for activity type


MANDT	 KOKRS	 WERKS	 LARNT	 MEINH
X	 X	 X	 X	 X
Client	 Controlling Area	 Plant	 Activity Type	 Unit of Measure for Activity/Operation
MANDT-CLNT(3)	 CACCD-CHAR(4)	 WERKS-CHAR(4)	 LSTAR-CHAR(6)	 MEINS-UNIT(3)
100	 1000	 ADEA	 ZAM001	 STD
100	 1000	 ADEA	 ZAM010	 KMT
100	 1000	 ADEA	 ZAM019	 EUR
100	 1000	 ADEA	 ZAM020	 EUR
100	 1000	 ADEA	 ZAM024	 STD
100	 1000	 ADEA	 ZAM025	 STD
100	 1000	 ADEA	 ZAM026	 UA
100	 1000	 ADEA	 ZAM027	 UA
100	 1000	 ADEA	 ZAM028	 STD
100	 1000	 ADEA	 ZAM029	 STD
100	 1000	 ADEA	 ZAM030	 STD
100	 1000	 ADEA	 ZAM047	 UA
100	 1000	 ADEA	 ZAM048	 UA
100	 1000	 ADEA	 ZAM061	 UA
100	 1000	 ADEA	 ZAM062	 UA
100	 1000	 ADEA	 ZAM065	 EUR
100	 1000	 ADEA	 ZNP001	 STD
100	 1000	 ADEA	 ZNP002	 STD
100	 1000	 ADEA	 ZNP003	 STD
100	 1000	 ADEA	 ZNP004	 STD
100	 1000	 ADEA	 ZNP005	 STD
100	 1000	 ADEA	 ZNP006	 STD
100	 1000	 ADEA	 ZNP007	 STD
100	 1000	 ADEA	 ZNP008	 STD
100	 1000	 ADEA	 ZNP009	 STD
100	 1000	 ADEA	 ZNP010	 STD
100	 1000	 ADEA	 ZNP011	 STD
100	 1000	 AFRA	 ZAM001	 STD
100	 1000	 AFRA	 ZAM004	 STD
100	 1000	 AFRA	 ZAM007	 STD
100	 1000	 AFRA	 ZAM010	 KMT
100	 1000	 AFRA	 ZAM019	 EUR
100	 1000	 AFRA	 ZAM020	 EUR
100	 1000	 AFRA	 ZAM024	 STD
100	 1000	 AFRA	 ZAM025	 STD
100	 1000	 AFRA	 ZAM026	 UA
100	 1000	 AFRA	 ZAM027	 UA
100	 1000	 AFRA	 ZAM028	 STD
100	 1000	 AFRA	 ZAM029	 STD
100	 1000	 AFRA	 ZAM030	 STD
100	 1000	 AFRA	 ZAM033	 STD
100	 1000	 AFRA	 ZAM065	 EUR
100	 1000	 AFRA	 ZNP001	 STD
100	 1000	 AFRA	 ZNP002	 STD
100	 1000	 AFRA	 ZNP003	 STD
100	 1000	 AFRA	 ZNP004	 STD
100	 1000	 AFRA	 ZNP005	 STD
100	 1000	 AFRA	 ZNP006	 STD
100	 1000	 AFRA	 ZNP007	 STD
100	 1000	 AFRA	 ZNP008	 STD
100	 1000	 AFRA	 ZNP009	 STD
100	 1000	 AFRA	 ZNP010	 STD
100	 1000	 AFRA	 ZNP011	 STD
100	 1000	 AFRA	 ZNP012	 STD
