SEED Accounting Indicator in Plant Maintenance Activity Type


MANDT	 ILART	 ILATX	 MATKL	 BEMOT	 ZSERVPROD_HIER	 ZALLBUSTR
X	 X	 	 	 	 	
Client	 Maintenance activity type	 Description of maintenance activity type	 Material Group	 Accounting Indicator	 Service Product Hierarchy	 Allowed Business Transactions
MANDT-CLNT(3)	 ILART-CHAR(3)	 TXT30-CHAR(30)	 MATKL-CHAR(9)	 BEMOT-CHAR(2)	 CHAR04-CHAR(4)	 CHAR40-CHAR(40)
100	 AN	 AirNet (FP)	 042ZAN	 1E	 FP	
100	 AO	 AirOptimizer (FP)	 042ZAO	 1E	 FP	
100	 AS	 AirScan (FP)	 042ZAS	 1E	 FP	
100	 CC	 Cost To Cost Center (INTR)	 043ZSR	 1S	 INTR	
100	 CH	 Do&Charge (RRB)	 043ZSR	 1E	 RRB	
100	 CO	 AirConnect (FP)	 042ZCO	 1E	 FP	
100	 CU	 Unplanned Contract Serv (SP)	 043ZSR	 1C	 SP	
100	 CX	 Converter Exchange (FP)	 042ZCX	 1E	 FP	
100	 EC	 ECB Product Warranty PC (INTR)	 043ZECB1	 1W	 INTR	
100	 ER	 Energy Recovery (FP)	 042ZER	 1E	 FP	
100	 FF	 First Time Fix Kit	 042ZFTF	 1S	 INTR	
100	 FP	 Fixed Price (FP)	 042ZFP	 1E	 FP	
100	 GL	 Product Warranty CC (INTR)	 043ZSR	 2W	 INTR	
100	 GW	 Product Goodwill CC (INTR)	 043ZSR	 1G	 INTR	
100	 IC	 StartUp / Commissioning (INTR)	 043ZIS03	 1I	 INTR	
100	 MX	 Motor Exchange (FP)	 042ZMX	 1E	 FP	
100	 OH	 Overhaul (FP)	 042ZOH	 1E	 FP	
100	 PD	 PreDelivery Inspection (INTR)	 043ZIS04	 1I	 INTR	
100	 PG	 Product Warranty PC (INTR)	 043ZSR	 1W	 INTR	
100	 SG	 Service Goodwill CC (INTR)	 043ZSR	 2G	 INTR	
100	 SP	 Planned Contract Serv (SP)	 043CSP	 1C	 SP	
100	 SW	 Service Warranty PC (INTR)	 043ZSR	 4W	 INTR	
100	 TR	 Total Responsibility with OH	 044ZTR	 1C	 INTR	
100	 UC	 Upgrades Control (FP)	 042ZUC	 1E	 FP	
100	 UP	 Upgrades Protection (FP)	 042ZUP	 1E	 FP	
100	 WG	 Service Warranty CC (INTR)	 043ZSR	 3W	 INTR	
