SEED: AM SDI cost update @ confirmation


MANDT	 BUKRS	 AUART	 ACTIVE
X	 X	 X	
Client	 Company Code	 Sales Document Type	 Boolean Variable (X=True, -=False, Space=Unknown)
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 AUART-CHAR(4)	 BOOLEAN-CHAR(1)
100	 CJAL	 ZAM1	 X
100	 CJAL	 ZAM2	 X
100	 CODA	 ZAM1	 X
100	 CODA	 ZAM2	 X
100	 CONA	 ZAM1	 X
100	 CONA	 ZAM2	 X
100	 HKGA	 ZAM1	 X
100	 HKGA	 ZAM2	 X
100	 HKKA	 ZAM1	 X
100	 HKKA	 ZAM2	 X
100	 MRUA	 ZAM1	 X
100	 MRUA	 ZAM2	 X
100	 POLA	 ZAM1	 X
100	 POLA	 ZAM2	 X
100	 RUPA	 ZAM1	 X
100	 RUPA	 ZAM2	 X
100	 SHTA	 ZAM1	 X
100	 SHTA	 ZAM2	 X
100	 XRAA	 ZAM1	 X
100	 XRAA	 ZAM2	 X
