Table with the appropriate plant sources for sales and servi


MANDT	 VKORG	 VTWEG	 MTPOS	 MATKL	 LIFNR	 DISMM	 ZZURGCODE	 SOURCE1	 SOURCE2	 SOURCE3	 SOURCE4
X	 X	 X	 X	 X	 X	 X	 X	 	 	 	
Client	 Sales Organization	 Distribution Channel	 Item category group from material master	 Material Group	 Account Number of Vendor or Creditor	 MRP Type	 Urgency code	 First choice plant	 2nd choice plant	 3rd choice plant	 4rd choice plant
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 MTPOS-CHAR(4)	 MATKL-CHAR(9)	 LIFNR-CHAR(10)	 DISMM-CHAR(2)	 ZURGCODE-CHAR(2)	 CHAR06-CHAR(6)	 CHAR06-CHAR(6)	 CHAR06-CHAR(6)	 CHAR06-CHAR(6)
100	 CN05	 11	 ZDTC	 1	 *	 ND	 Z1	 CN92	 	 	
100	 CN05	 11	 ZDTC	 1	 *	 ND	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 ND	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 ND	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 ND	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z7	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z7	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z7	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 *	 Z7	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z5	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z5	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z5	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z5	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z6	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z6	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z6	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000000	 Z6	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000016	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z5	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z5	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z5	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z5	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z6	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z6	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z6	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000092	 Z6	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 ND	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 ND	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 ND	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 ND	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z5	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z5	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z5	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z5	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z6	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z6	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z6	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000101	 Z6	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000411	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000431	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 1	 102000603	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 ND	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 ND	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 ND	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z7	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z7	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z7	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 *	 Z7	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101003480	 Z5	 Z1	 CN61	 	 	
100	 CN06	 1	 NORM	 2	 101003480	 Z5	 Z2	 CN61	 	 	
100	 CN06	 1	 NORM	 2	 101003480	 Z5	 Z3	 CN61	 	 	
100	 CN06	 1	 NORM	 2	 101003480	 Z5	 Z4	 CN61	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z7	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z7	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z7	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 101010580	 Z7	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z7	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z7	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z7	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000016	 Z7	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z7	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z7	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z7	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000411	 Z7	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z7	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z7	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z7	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 2	 102000431	 Z7	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z6	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 *	 Z6	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z5	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z5	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z5	 Z3	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z5	 Z4	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z6	 Z1	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z6	 Z2	 CN92	 	 	
100	 CN06	 1	 NORM	 3	 102000411	 Z6	 Z3	 CN92	 	 	
