ATP Item Category Configuration


MANDT	 DTC	 PSTYV_SAP	 PSTYV_ATP
X	 X	 X	 X
Client	 DTC plant	 Sales document item category	 ATP Item Category
MANDT-CLNT(3)	 ZACTIVE_FLAG-CHAR(1)	 PSTYV-CHAR(4)	 PSTYV-CHAR(4)
100	 	 ZDT1	 ZTAO
100	 	 ZDT2	 ZTA1
100	 	 ZDTC	 ZTAN
100	 	 ZKB1	 ZKBN
100	 	 ZKBN	 ZKBN
100	 	 ZTA1	 ZTA1
100	 	 ZTAN	 ZTAN
100	 	 ZTAO	 ZTAO
100	 X	 ZDT1	 ZDT1
100	 X	 ZDT2	 ZDT2
100	 X	 ZDTC	 ZDTC
100	 X	 ZKB1	 ZKB1
100	 X	 ZKBN	 ZKB1
100	 X	 ZTA1	 ZDT2
100	 X	 ZTAN	 ZDTC
100	 X	 ZTAO	 ZDT1
