SEED Data upload STOCK


MANDT	 PRCTR	 NEW_PRCTR
X	 X	
Client	 Profit Center	 New profit center
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 PRCTR-CHAR(10)
100	 11081Z8148	 118PZAPZAA
100	 11081Z8151	 118PIAPIAA
100	 11081Z8157	 118PTAPTAA
100	 11081Z8158	 118PDAPDAA
100	 11082Z8248	 118FZAFZAA
100	 11082Z8251	 118FIAFIAA
100	 11082Z8257	 118FTAFTAA
100	 11082Z8258	 118FDAFDAA
100	 11084P084P	 118AOAAOAA
100	 11084R084R	 118COACOAA
100	 11084T084T	 118OOAOOAA
100	 11084Y084Y	 118YOAYOAA
100	 11084Z8410	 118NOANOAB
100	 11084Z8411	 118NOANOAC
100	 11084Z8416	 118NOQNOQA
100	 11085H8154	 118PHAPHAA
100	 11085H8254	 118FHAFHAA
100	 11085H8554	 118SHASHAA
100	 11085S085S	 118SHMSHMA
100	 11085T085T	 118SCGSCGA
100	 11085U085U	 118SCISCIA
100	 11085V085V	 118SIMSIMA
100	 11085Z8548	 118SZASZAA
100	 11085Z8551	 118SIASIAA
100	 11085Z8557	 118STASTAA
100	 11085Z8558	 118SDASDAA
100	 12049M49AM	 12049J49AM
100	 12049M49BM	 12049J49BM
100	 12049M49CM	 12049J49CM
100	 12049M49EM	 12049V49EM
100	 12049M49WM	 12049V49WM
100	 12049P049A	 12049S049A
100	 12049P049B	 12049S049B
100	 12049P049C	 12049S049C
100	 12049P049E	 12049T049E
100	 12049P049W	 12049T049W
100	 12081C8144	 128PPAPPAA
100	 12081C8145	 128PGAPGAA
100	 12081C8146	 128PQAPQAA
100	 12081C8147	 128PSAPSAA
100	 12081W81W4	 128PPMPPMA
100	 12081W81W5	 128PGMPGMA
100	 12081W81W6	 128PQMPQMA
100	 12081W81W7	 128PSMPSMA
100	 12082C8244	 128FPAFPAA
100	 12082C8245	 128FGAFGAA
100	 12082C8246	 128FQAFQAA
100	 12082C8247	 128FSAFSAA
100	 12082H82H0	 128SMASMAA
100	 12082H82H1	 128SMASMAA
100	 12082H82H2	 128SMASMAA
100	 12082H82H9	 128SMASMAA
100	 12082W82W4	 128FPMFPMA
100	 12082W82W5	 128FGMFGMA
100	 12082W82W6	 128FQMFQMA
100	 12082W82W7	 128FSMFSMA
100	 12084C8420	 128NNANNAA
100	 12084C8421	 128ENAENAA
100	 12084C8422	 128NNANNAB
100	 12084C8423	 128ONAONAA
100	 12084C8424	 128CNACNAA
100	 12084C8425	 128ANAANAA
100	 12084C8426	 128NNQNNQA
100	 12084C8427	 128CNACNAB
100	 12084C8428	 128CNACNAC
100	 12084C8429	 128NNANNAC
100	 12084C84W5	 128NNMNNMA
100	 12084C84W7	 128NNMNNMA
100	 12084C84W8	 128NNMNNMA
100	 12084C84W9	 128NNMNNMA
100	 12084W84W0	 128NNMNNMA
100	 12084W84W1	 128NNMNNMA
100	 12084W84W2	 128NNMNNMA
100	 12084W84W3	 128NNMNNMA
100	 12084W84W4	 128NNMNNMA
100	 12084W84W5	 128NNMNNMA
100	 12084W84W6	 128NNMNNMA
100	 12084W84W7	 128NNMNNMA
100	 12084W84W8	 128NNMNNMA
100	 12084W84W9	 128NNMNNMA
100	 12085C8544	 128SPASPAA
100	 12085C8545	 128SGASGAA
100	 12085C8546	 128SQASQAA
100	 12085C8547	 128SSASSAA
100	 12085W85W4	 128SPMSPMA
100	 12085W85W5	 128SGMSGMA
100	 12085W85W6	 128SQMSQMA
100	 12085W85W7	 128SSMSSMA
100	 13081M8140	 138PXAPXAA
100	 13081M8141	 138PXAPXAA
100	 13081M8142	 138PEAPEAA
100	 13081X81X0	 138SXMSXMA
100	 13081X81X1	 138SXMSXMA
100	 13081X81X2	 138SXMSXMA
100	 13082M8240	 138FXAFXAA
100	 13082M8241	 138FXAFXAA
100	 13082M8242	 138FEAFEAA
100	 13082X82X0	 138SXMSXMA
100	 13082X82X1	 138SXMSXMA
100	 13082X82X2	 138SXMSXMA
100	 13084M8430	 138NUANUAA
100	 13084M8431	 138EUAEUAA
100	 13084M8432	 138CUACUAA
100	 13084M8436	 138NUQNUQA
100	 13084X84X0	 138NUANUAA
100	 13084X84X1	 138EUAEUAA
100	 13084X84X6	 138NUQNUQA
100	 13085M8540	 138SXASXAA
100	 13085M8541	 138SXASXAA
100	 13085M8542	 138SEASEAA
100	 13085X85X0	 138SXMSXMA
100	 13085X85X1	 138SXMSXMA
100	 13085X85X2	 138SXMSXMA
100	 14081G0000	 14050A0506
100	 14082G0000	 14050A0506
100	 14084G8440	 14050A0506
100	 14084G8441	 14050A0506
100	 14085G0000	 14050A0506
