EM: Plant Parameters


MANDT	 WERKS	 WHTYPE	 WHSTDES
X	 X	 	
Client	 Plant	 Warehouse type	 Warehouse type description
MANDT-CLNT(3)	 WERKS-CHAR(4)	 ZWHTYPE-CHAR(1)	 CHAR30-CHAR(30)
100	 CN01	 C	 CENTRAL WAREHOUSE
100	 CN02	 C	 CENTRAL WAREHOUSE
100	 CN03	 B	 BRANCH WAREHOUSE
100	 CN04	 B	 BRANCH WAREHOUSE
100	 CN05	 B	 BRANCH WAREHOUSE
100	 CN06	 B	 BRANCH WAREHOUSE
100	 CN07	 B	 BRANCH WAREHOUSE
100	 CN08	 B	 BRANCH WAREHOUSE
100	 CN11	 C	 CENTRAL WAREHOUSE
100	 CN12	 B	 BRANCH WAREHOUSE
100	 CN13	 B	 BRANCH WAREHOUSE
100	 CN14	 B	 BRANCH WAREHOUSE
100	 CN15	 B	 BRANCH WAREHOUSE
100	 CN16	 B	 BRANCH WAREHOUSE
100	 CN17	 C	 CENTRAL WAREHOUSE
100	 CN18	 C	 CENTRAL WAREHOUSE
100	 CN19	 B	 BRANCH WAREHOUSE
100	 CN20	 B	 BRANCH WAREHOUSE
100	 CN21	 B	 BRANCH WAREHOUSE
100	 CN22	 B	 BRANCH WAREHOUSE
100	 CN23	 B	 BRANCH WAREHOUSE
100	 CN24	 B	 BRANCH WAREHOUSE
100	 CN25	 C	 CENTRAL WAREHOUSE
100	 CN28	 B	 BRANCH WAREHOUSE
100	 CN71	 C	
100	 CN72	 B	
100	 CN73	 B	
100	 CN74	 B	
100	 CN75	 B	
100	 CN76	 B	
100	 CN77	 B	
100	 CN78	 B	
100	 CN79	 B	
100	 CN80	 B	
100	 CN81	 B	
100	 CN82	 B	
100	 CN83	 B	
100	 CN84	 B	
100	 CN85	 B	
100	 CN86	 B	
100	 CN90	 D	 DTC VIRTUAL WAREHOUSE
100	 HK01	 C	 CENTRAL WAREHOUSE
100	 HK04	 C	 CENTRAL WAREHOUSE
100	 HK05	 C	 CENTRAL WAREHOUSE
100	 HK90	 D	 DTC VIRTUAL WAREHOUSE
100	 PL01	 C	 CENTRAL WAREHOUSE
100	 PL02	 C	 CENTRAL WAREHOUSE
100	 PL03	 C	 CENTRAL WAREHOUSE
100	 PL04	 C	 CENTRAL WAREHOUSE
100	 PL05	 C	 CENTRAL WAREHOUSE
100	 PL06	 C	 CENTRAL WAREHOUSE
100	 PL07	 C	 CENTRAL WAREHOUSE
100	 PL08	 C	 CENTRAL WAREHOUSE
100	 PL09	 C	 CENTRAL WAREHOUSE
100	 PL10	 C	 CENTRAL WAREHOUSE
100	 PL11	 C	 CENTRAL WAREHOUSE
100	 PL12	 C	 CENTRAL WAREHOUSE
100	 PL13	 C	 CENTRAL WAREHOUSE
100	 PL14	 C	 CENTRAL WAREHOUSE
100	 PL15	 C	 CENTRAL WAREHOUSE
100	 PL90	 D	 DTC VIRTUAL WAREHOUSE
100	 RU01	 C	 CENTRAL WAREHOUSE
100	 RU02	 B	 BRANCH WAREHOUSE
100	 RU03	 B	 BRANCH WAREHOUSE
100	 RU04	 B	 BRANCH WAREHOUSE
100	 RU05	 B	 BRANCH WAREHOUSE
100	 RU06	 B	 BRANCH WAREHOUSE
100	 RU07	 B	 BRANCH WAREHOUSE
100	 RU08	 B	 BRANCH WAREHOUSE
100	 RU09	 B	 BRANCH WAREHOUSE
100	 RU10	 B	 BRANCH WAREHOUSE
100	 RU11	 B	 BRANCH WAREHOUSE
100	 RU12	 B	 BRANCH WAREHOUSE
100	 RU13	 B	 BRANCH WAREHOUSE
100	 RU14	 B	 BRANCH WAREHOUSE
100	 RU15	 C	 CENTRAL WAREHOUSE
100	 RU50	 C	 CENTRAL WAREHOUSE
100	 RU51	 B	 BRANCH WAREHOUSE
100	 RU52	 B	 BRANCH WAREHOUSE
100	 RU53	 B	 BRANCH WAREHOUSE
100	 RU54	 B	 BRANCH WAREHOUSE
100	 RU55	 B	 BRANCH WAREHOUSE
100	 RU56	 B	 BRANCH WAREHOUSE
100	 RU57	 B	 BRANCH WAREHOUSE
100	 RU58	 B	 BRANCH WAREHOUSE
100	 RU59	 B	 BRANCH WAREHOUSE
100	 RU60	 B	 BRANCH WAREHOUSE
100	 RU70	 C	 CENTRAL WAREHOUSE
100	 RU71	 B	 BRANCH WAREHOUSE
100	 RU72	 B	 BRANCH WAREHOUSE
100	 RU73	 B	 BRANCH WAREHOUSE
100	 RU74	 B	 BRANCH WAREHOUSE
100	 RU90	 D	 DTC VIRTUAL WAREHOUSE
100	 ZZ01	 B	 BRANCH WAREHOUSE
100	 ZZ02	 B	 BRANCH WAREHOUSE
