Charecteristic group per account


MANDT	 ERKRS	 HKONT	 EFORM
X	 X	 X	
Client	 Operating concern	 General Ledger Account	 Characteristic group
MANDT-CLNT(3)	 ERKRS-CHAR(4)	 SAKNR-CHAR(10)	 RKE_EFORM-CHAR(4)
100	 1000	 0003010002	 Z02
100	 1000	 0003210002	 Z02
100	 1000	 0003292002	 Z05
100	 1000	 0003361001	 Z02
100	 1000	 0003410001	 Z02
100	 1000	 0004001001	 Z04
100	 1000	 0004010002	 Z04
100	 1000	 0004010007	 Z04
100	 1000	 0004020001	 Z04
100	 1000	 0004210004	 Z04
100	 1000	 0006050001	 Z04
100	 1000	 0006050002	 Z04
100	 1000	 0006050003	 Z04
100	 1000	 0006050004	 Z04
100	 1000	 0006051001	 Z04
