Monitored Job List


URGRP	 JOBNAME	 STATUS
X	 X	 X
User Group	 Background job name	 State of Background Job
CHAR4-CHAR(4)	 CHAR32-CHAR(32)	 YSE_JOB_STATUS-CHAR(1)
FICO	 AM066-DAILY_RA_SETTLEMENT_POLA	 A
FICO	 AM091-DAILY_RA_SETTLEMENT_SHTA	 A
FICO	 AM092-DAILY_RA_SETTLEMENT_HKGA	 A
FICO	 AM093-DAILY_RA_SETTLEMENT_CODA	 A
FICO	 AM134-DAILY_RA_SETTLEMENT_MRUA	 A
FICO	 FICO CONSISTENCY CHECK*	 F
FICO	 FICO*	 A
GRP1	 ZJWU_TEST1	 A
GRP1	 ZJWU_TEST1	 F
GRP1	 ZJWU_TEST2	 A
GRP1	 ZJWU_TEST3	
GRP1	 ZJWU_TEST4	
