Stear smartformname depending on country


MANDT	 KSCHL	 NACHA	 KAPPL	 LAND1	 SFORM
X	 X	 X	 X	 X	
Client	 Output Type	 Message transmission medium	 Application	 Country Key	 Smart Forms: Form Name
MANDT-CLNT(3)	 KSCHL-CHAR(4)	 NA_NACHA-CHAR(1)	 KAPPL-CHAR(2)	 LAND1-CHAR(3)	 TDSFNAME-CHAR(30)
100	 Z001	 1	 V6	 CN	 YSE_SL_CASELABEL_C1
100	 Z001	 1	 V6	 HK	 YSE_SL_CASELABEL
100	 Z001	 1	 V6	 RU	 YSE_SL_CASELABEL_Z3
100	 Z002	 1	 V3	 CN	 YSE_SD_INVOICE_C1
100	 Z5WL	 1	 V3	 CN	 YSE_RLB_INVOICE_Z1
100	 Z5WL	 1	 V3	 HK	 YSE_RLB_INVOICE_Z1
100	 Z5WL	 1	 V3	 PL	 YSE_RLB_INVOICE
100	 Z5WL	 8	 V3	 CN	 YSE_RLB_INVOICE_Z1
100	 Z5WL	 8	 V3	 HK	 YSE_RLB_INVOICE_Z1
100	 Z5WL	 8	 V3	 PL	 YSE_RLB_INVOICE
100	 Z5WR	 1	 V3	 CN	 YSE_RLB_INVOICE_Z1
100	 Z5WR	 1	 V3	 HK	 YSE_RLB_INVOICE_Z1
100	 Z5WR	 1	 V3	 PL	 YSE_RLB_INVOICE
100	 Z5WR	 8	 V3	 CN	 YSE_RLB_INVOICE_Z1
100	 Z5WR	 8	 V3	 HK	 YSE_RLB_INVOICE_Z1
100	 Z5WR	 8	 V3	 PL	 YSE_RLB_INVOICE
100	 ZAM1	 1	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM1	 1	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM1	 1	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM1	 1	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM1	 1	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM1	 8	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM1	 8	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM1	 8	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM1	 8	 V3	 CN	 YSE_AM_INVOICE_Z1_NN
100	 ZAM1	 8	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM2	 1	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM2	 1	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM2	 1	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM2	 1	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM2	 1	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM2	 8	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM2	 8	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM2	 8	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM2	 8	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM2	 8	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM3	 1	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM3	 1	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM3	 1	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM3	 1	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM3	 1	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM3	 8	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM3	 8	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM3	 8	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM3	 8	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM3	 8	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM4	 1	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM4	 1	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM4	 1	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM4	 1	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM4	 1	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM4	 8	 V1	 CN	 YSE_SDQUOT_01_Z1
100	 ZAM4	 8	 V1	 HK	 YSE_SDQUOT_01_Z1
100	 ZAM4	 8	 V1	 RU	 YSE_SDQUOT_01_Z3
100	 ZAM4	 8	 V3	 CN	 YSE_AM_INVOICE_Z1
100	 ZAM4	 8	 V3	 HK	 YSE_AM_INVOICE_Z1
100	 ZAM6	 1	 V1	 RU	 YSE_SJOT_Z3
100	 ZAM6	 8	 V1	 RU	 YSE_SJOT_Z3
100	 ZAM7	 1	 V1	 RU	 YSE_ACT_ACCEPT_Z3
100	 ZAM7	 8	 V1	 RU	 YSE_ACT_ACCEPT_Z3
100	 ZAM8	 1	 V1	 RU	 YSE_ACT_ACCEPT_Z3
100	 ZAM8	 8	 V1	 RU	 YSE_ACT_ACCEPT_Z3
100	 ZBA1	 1	 V1	 CN	 YSE_SD_ORDERCONFIRM_Z1
100	 ZBA1	 1	 V1	 HK	 YSE_SD_ORDERCONFIRM_Z1
