Mapping of  material Prod.hierarchy


MANDT	 PRODH_OLD	 PRODH_NEW
X	 X	 X
Client	 Product hierarchy	 Product hierarchy
MANDT-CLNT(3)	 PRODH-CHAR(18)	 PRODH-CHAR(18)
100	 15  150	 85T5150
100	 15  151	 85T5151
100	 15  154	 85T5154
100	 15  155	 85T5155
100	 15  156	 85T5156
100	 15  157	 85T5157
100	 15  158	 85T5158
100	 17  170	 113 170
100	 17  171	 113 171
100	 17  172	 113 172
100	 17  173	 113 173
100	 17  174	 113 174
100	 17  177	 113 177
100	 18  180	 110 180
100	 18  181	 110 181
100	 18  183	 110 183
100	 18  185	 110 185
100	 18  187	 110 187
