SEED Maximum delivery customizing table


MANDT	 VKORG	 VTWEG	 SPART	 AUART
X	 X	 X	 X	 X
Client	 Sales Organization	 Distribution Channel	 Division	 Sales Document Type
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 AUART-CHAR(4)
100	 CN01	 01	 01	 ZKB
100	 CN01	 01	 01	 ZKT
100	 CN01	 01	 01	 ZOR
100	 CN01	 01	 01	 ZOR1
100	 CN01	 01	 01	 ZOR2
100	 CN02	 01	 01	 ZKB
100	 CN02	 01	 01	 ZOR
100	 CN02	 01	 01	 ZOR1
100	 CN02	 01	 01	 ZOR2
100	 CN03	 01	 01	 ZKB
100	 CN03	 01	 01	 ZOR
100	 CN03	 01	 01	 ZOR1
100	 CN03	 01	 01	 ZOR2
100	 CN03	 01	 40	 ZKB
100	 CN03	 01	 40	 ZOR
100	 CN03	 01	 40	 ZOR1
100	 CN03	 01	 40	 ZOR2
100	 HK01	 01	 01	 ZKB
100	 HK01	 01	 01	 ZKT
100	 HK01	 01	 01	 ZOR
100	 HK01	 01	 01	 ZOR1
100	 HK01	 01	 01	 ZOR2
100	 HK02	 01	 01	 ZKB
100	 HK02	 01	 01	 ZOR
100	 HK02	 01	 01	 ZOR1
100	 HK02	 01	 01	 ZOR2
100	 HK03	 01	 01	 ZKB
100	 HK03	 01	 01	 ZOR
100	 HK03	 01	 01	 ZOR1
100	 HK03	 01	 01	 ZOR2
100	 HK03	 01	 04	 ZKB
100	 HK03	 01	 04	 ZOR
100	 HK03	 01	 04	 ZOR1
100	 HK03	 01	 04	 ZOR2
100	 HK03	 01	 15	 ZKB
100	 HK03	 01	 15	 ZOR
100	 HK03	 01	 15	 ZOR1
100	 HK03	 01	 15	 ZOR2
100	 HK03	 01	 16	 ZKB
100	 HK03	 01	 16	 ZOR
100	 HK03	 01	 16	 ZOR1
100	 HK03	 01	 16	 ZOR2
100	 PL02	 01	 01	 ZKB
100	 PL02	 01	 01	 ZOR
100	 PL02	 01	 01	 ZOR1
100	 PL02	 01	 01	 ZOR2
100	 PL02	 01	 01	 ZOR3
100	 PL04	 01	 01	 ZOR
100	 PL04	 01	 01	 ZOR3
100	 PL04	 01	 04	 ZOR
100	 PL04	 01	 04	 ZOR3
100	 PL04	 01	 41	 ZOR
100	 PL04	 01	 41	 ZOR3
100	 RU01	 01	 01	 ZKB
100	 RU01	 01	 01	 ZOR
100	 RU01	 01	 03	 ZKB
100	 RU01	 01	 03	 ZOR
100	 RU01	 01	 04	 ZKB
100	 RU01	 01	 04	 ZOR
100	 RU01	 01	 06	 ZKB
100	 RU01	 01	 06	 ZOR
100	 RU01	 01	 31	 ZKB
100	 RU01	 01	 31	 ZOR
100	 RU01	 01	 35	 ZKB
100	 RU01	 01	 35	 ZOR
100	 RU01	 01	 36	 ZKB
100	 RU01	 01	 36	 ZOR
100	 RU02	 01	 01	 ZKB
100	 RU02	 01	 01	 ZOR
100	 RU03	 01	 01	 ZKB
100	 RU03	 01	 01	 ZOR
100	 RU03	 01	 04	 ZKB
100	 RU03	 01	 04	 ZOR
100	 RU03	 01	 15	 ZKB
100	 RU03	 01	 15	 ZOR
100	 RU03	 01	 16	 ZKB
100	 RU03	 01	 16	 ZOR
100	 RU03	 01	 32	 ZKB
100	 RU03	 01	 32	 ZOR
100	 RU03	 01	 50	 ZKB
100	 RU03	 01	 50	 ZOR
100	 RU04	 01	 01	 ZKB
100	 RU04	 01	 01	 ZOR
100	 RU04	 01	 04	 ZKB
100	 RU04	 01	 04	 ZOR
100	 RU04	 01	 41	 ZKB
100	 RU04	 01	 41	 ZOR
