Message pop-up trigger table


MANDT	 BNAME	 YSELOGDT	 YSENOPOP
X	 X	 	
Client	 User Name in User Master Record	 Last Logon Date	 No Popup
MANDT-CLNT(3)	 XUBNAME-CHAR(12)	 ZLOGDT-DATS(8)	 ZNOPOP-CHAR(1)
100	 ACTEM	 20170904	
100	 ACTES	 20140516	
100	 ACTEXTAA	 20121112	
100	 ACTEXTABMA	 20160427	
100	 ACTEXTAD	 20120203	
100	 ACTEXTAI	 20111114	
100	 ACTEXTAJSI	 20170712	
100	 ACTEXTAML	 20120730	
100	 ACTEXTAMM	 20130503	
100	 ACTEXTANG	 20140123	
100	 ACTEXTANV	 20130227	
100	 ACTEXTARI	 20111116	
100	 ACTEXTASG	 20111205	
100	 ACTEXTAV	 20120202	
100	 ACTEXTBH	 20171107	
100	 ACTEXTBJI	 20131017	
100	 ACTEXTBW	 20171002	
100	 ACTEXTCHA	 20140909	
100	 ACTEXTCHP	 20120105	
100	 ACTEXTCSR	 20120702	
100	 ACTEXTDHI	 20150422	
100	 ACTEXTDLC	 20110922	
100	 ACTEXTDV	 20131217	
100	 ACTEXTEMMTAM	 20170125	
100	 ACTEXTFI	 20120529	
100	 ACTEXTGAS	 20121228	
100	 ACTEXTGG	 20110822	
100	 ACTEXTGMA	 20120111	
100	 ACTEXTHB	 20121127	
100	 ACTEXTJP	 20120907	
100	 ACTEXTJS	 20120515	
100	 ACTEXTJVA	 20120319	
100	 ACTEXTKAVI	 20120628	
100	 ACTEXTKBA	 20130117	
100	 ACTEXTKBH	 20120111	
100	 ACTEXTKD	 20111129	
100	 ACTEXTKEAN	 20160421	
100	 ACTEXTKIK	 20140313	
100	 ACTEXTKRA	 20130215	
100	 ACTEXTKUMSA	 20160909	
100	 ACTEXTLB	 20120120	
100	 ACTEXTMAP	 20111109	
100	 ACTEXTMAS	 20120213	
100	 ACTEXTMEN	 20121206	
100	 ACTEXTMKG	 20151113	
100	 ACTEXTMP	 20110630	
100	 ACTEXTMS	 20111202	
100	 ACTEXTNASA	 20151030	
100	 ACTEXTNG	 20140307	
100	 ACTEXTNK	 20150526	
100	 ACTEXTPL	 20111020	
100	 ACTEXTPPR	 20140314	
100	 ACTEXTPRS	 20121009	
100	 ACTEXTPTA	 20130123	
100	 ACTEXTPYKT	 20120927	
100	 ACTEXTRA	 20120607	
100	 ACTEXTRAA	 20130628	
100	 ACTEXTRAMA	 20131128	
100	 ACTEXTRD	 20111207	
100	 ACTEXTREN	 20111025	
100	 ACTEXTRID	 20140918	
100	 ACTEXTRK	 20120118	
100	 ACTEXTRKU	 20120816	
100	 ACTEXTRL	 20111024	
100	 ACTEXTRN	 20130314	
100	 ACTEXTSA	 20130401	
100	 ACTEXTSAB	 20130108	
100	 ACTEXTSAN	 20120330	
100	 ACTEXTSB	 20110805	
100	 ACTEXTSD	 20120111	
100	 ACTEXTSF	 20170808	
100	 ACTEXTSG	 20110519	
100	 ACTEXTSJ	 20111020	
100	 ACTEXTSKM	 20120718	
100	 ACTEXTSKRK	 20120914	
100	 ACTEXTSLS	 20121105	
100	 ACTEXTSOJ	 20170712	
100	 ACTEXTSPA	 20120301	
100	 ACTEXTSRS	 20110914	
100	 ACTEXTSSH	 20111208	
100	 ACTEXTSUCH	 20150520	
100	 ACTEXTSURK	 20151027	
100	 ACTEXTSWA	 20141222	
100	 ACTEXTSWED	 20130201	
100	 ACTEXTVIS	 20121010	
100	 ACTEXTVJ	 20120404	
100	 ACTEXTVS	 20110615	
100	 ACTEXTVV	 20121003	
100	 ACTEXTVVN	 20120320	
100	 ACTEXTYR	 20121228	
100	 ACTEXTZP	 20111003	
100	 ACTGR	 20170705	
100	 ACTSN	 20151023	
100	 ACTTL	 20120221	
100	 ACTWD	 20171103	
100	 AIR11388	 20150618	
100	 AIR11465	 20100922	
100	 AIR13105	 20130801	
100	 AIR13186	 20110922	
100	 AIR13187	 20130418	
100	 AIR13251	 20140130	
100	 AIR13799	 20140429	
100	 AIR13951	 20110330	
100	 AIR14518	 20130920	
100	 AIR14540	 20140210	
100	 AIR14581	 20121029	
100	 AIR14707	 20110616	
100	 AIR14726	 20131211	
100	 AIR14860	 20130118	
100	 AIR14879	 20151022	
100	 AIR14920	 20141003	
100	 AIR14939	 20111102	
100	 AIR15004	 20130311	
100	 AIR15024	 20130429	
