SEED: Mapping valuation class - account number


MANDT	 BKLAS	 BWKEY	 HKONT
X	 X	 X	 X
Client	 Valuation Class	 Valuation Area	 General Ledger Account
MANDT-CLNT(3)	 BKLAS-CHAR(4)	 BWKEY-CHAR(4)	 SAKNR-CHAR(10)
100	 3040	 	 0001461001
100	 3040	 CN90	 0001402004
100	 3040	 HK90	 0001402004
100	 3040	 PL90	 0001402004
100	 3040	 RU90	 0001402004
100	 3060	 	 0001462001
100	 3060	 CN90	 0001402004
100	 3060	 HK90	 0001402004
100	 3060	 PL90	 0001402004
100	 3060	 RU90	 0001402004
100	 3070	 	 0001790010
