Link SAP Vendor - sales organisations


MANDT	 VENDOR	 VKORG
X	 X	 X
Client	 Account Number of Vendor or Creditor	 Sales Organization
MANDT-CLNT(3)	 LIFNR-CHAR(10)	 VKORG-CHAR(4)
100	 0102000000	 CN01
100	 0102000000	 CN04
100	 0102000000	 HK01
100	 0102000000	 PL01
100	 0102000000	 RU01
100	 0102000005	 CN03
100	 0102000005	 HK03
100	 0102000005	 PL03
100	 0102000005	 RU03
100	 0102000006	 CN02
100	 0102000006	 HK02
100	 0102000006	 PL02
100	 0102000006	 RU02
100	 0102000008	 CN02
100	 0102000008	 HK02
100	 0102000008	 PL02
100	 0102000008	 RU02
100	 0102000009	 CN02
100	 0102000009	 HK02
100	 0102000009	 PL02
100	 0102000009	 RU02
100	 0102000016	 CN02
100	 0102000016	 HK02
100	 0102000016	 PL02
100	 0102000016	 RU02
100	 0102000027	 CN02
100	 0102000027	 HK02
100	 0102000027	 PL02
100	 0102000027	 RU02
100	 0102000031	 CN02
100	 0102000031	 HK02
100	 0102000031	 PL02
100	 0102000031	 RU02
100	 0102000041	 CN02
100	 0102000041	 HK02
100	 0102000041	 PL02
100	 0102000041	 RU02
100	 0102000043	 CN03
100	 0102000043	 HK03
100	 0102000043	 PL03
100	 0102000043	 RU03
100	 0102000068	 CN02
100	 0102000068	 HK02
100	 0102000068	 PL02
100	 0102000068	 RU02
100	 0102000072	 CN02
100	 0102000072	 HK02
100	 0102000072	 PL02
100	 0102000072	 RU02
100	 0102000130	 CN03
100	 0102000130	 HK03
100	 0102000130	 RU03
