Seed : Link CC Famcode - business area - plants


MANDT	 ZCCFAM	 ZGSBER	 WERKS	 SPRAS	 ZLAND	 BUKRS	 ZFORE
X	 X	 X	 X	 	 	 	
Client	 Customer Center FAM Code	 Business Area	 Plant	 Language Key	 Country Key of Purchasing Country	 Company Code	 Seed : Create Forecast View
MANDT-CLNT(3)	 ZCCFAM-CHAR(3)	 ZGSBER-CHAR(3)	 WERKS-CHAR(4)	 SPRAS-LANG(1)	 LAND1-CHAR(3)	 BUKRS-CHAR(4)	 ZFORE-CHAR(1)
100	 CQC	 CT	 CN61	 E	 	 CQCA	
100	 CQC	 CT	 CN62	 	 	 CQCA	
100	 CQC	 CT	 CN92	 	 	 CQCA	
100	 MRU	 CMT	 RU63	 R	 RU	 MRUA	
100	 MRU	 CMT	 RU64	 R	 RU	 MRUA	
100	 POL	 CMT	 PL01	 L	 	 POLA	
100	 POL	 CMT	 PL02	 L	 	 POLA	
100	 POL	 CMT	 PL03	 L	 	 POLA	
100	 POL	 CMT	 PL04	 L	 	 POLA	
100	 POL	 CMT	 PL05	 L	 	 POLA	
100	 POL	 CMT	 PL06	 L	 	 POLA	
100	 POL	 CMT	 PL07	 L	 	 POLA	
100	 POL	 CMT	 PL09	 L	 	 POLA	
100	 POL	 CMT	 PL10	 L	 	 POLA	
100	 POL	 CMT	 PL11	 L	 	 POLA	
100	 POL	 CMT	 PL12	 L	 	 POLA	
100	 POL	 CMT	 PL13	 L	 	 POLA	
100	 POL	 CMT	 PL14	 L	 	 POLA	
100	 POL	 CMT	 PL15	 L	 	 POLA	
100	 POL	 CMT	 PL16	 L	 	 POLA	
100	 POL	 CMT	 PL90	 L	 	 POLA	
100	 POL	 CT	 PL01	 L	 	 POLA	
100	 POL	 CT	 PL02	 L	 	 POLA	
100	 POL	 CT	 PL03	 L	 	 POLA	
100	 POL	 CT	 PL04	 L	 	 POLA	
100	 POL	 CT	 PL05	 L	 	 POLA	
100	 POL	 CT	 PL06	 L	 	 POLA	
100	 POL	 CT	 PL07	 L	 	 POLA	
100	 POL	 CT	 PL09	 L	 	 POLA	
100	 POL	 CT	 PL10	 L	 	 POLA	
100	 POL	 CT	 PL11	 L	 	 POLA	
100	 POL	 CT	 PL12	 L	 	 POLA	
100	 POL	 CT	 PL13	 L	 	 POLA	
100	 POL	 CT	 PL14	 L	 	 POLA	
100	 POL	 CT	 PL15	 L	 	 POLA	
100	 POL	 CT	 PL16	 L	 	 POLA	
100	 POL	 CT	 PL90	 L	 	 POLA	
100	 POL	 IT	 PL01	 L	 	 POLA	
100	 POL	 IT	 PL02	 L	 	 POLA	
100	 POL	 IT	 PL03	 L	 	 POLA	
100	 POL	 IT	 PL04	 L	 	 POLA	
100	 POL	 IT	 PL05	 L	 	 POLA	
100	 POL	 IT	 PL06	 L	 	 POLA	
100	 POL	 IT	 PL07	 L	 	 POLA	
100	 POL	 IT	 PL09	 L	 	 POLA	
100	 POL	 IT	 PL10	 L	 	 POLA	
100	 POL	 IT	 PL11	 L	 	 POLA	
100	 POL	 IT	 PL12	 L	 	 POLA	
100	 POL	 IT	 PL13	 L	 	 POLA	
100	 POL	 IT	 PL14	 L	 	 POLA	
100	 POL	 IT	 PL15	 L	 	 POLA	
100	 POL	 IT	 PL16	 L	 	 POLA	
100	 POL	 IT	 PL90	 L	 	 POLA	
