Business Line Derivation (only for YSE_FICO_RRB_REVERSAL)


MANDT	 BUKRS	 PRCTR	 SEGMENT
X	 X	 X	
Client	 Company Code	 Profit Center	 Segment for Segmental Reporting
MANDT-CLNT(3)	 BUKRS-CHAR(4)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)
100	 MRUA	 0000000298	 0000002410
100	 MRUA	 0000000299	 0000002410
100	 MRUA	 0000000800	 0000002310
100	 MRUA	 0000000802	 0000002310
100	 MRUA	 0000000803	 0000002310
100	 MRUA	 0000000880	 0000002710
100	 MRUA	 10D	 0000002110
100	 MRUA	 10R	 0000002120
100	 MRUA	 16C	 0000002120
100	 MRUA	 16J	 0000002120
100	 MRUA	 17B	 0000002110
100	 MRUA	 17F	 0000002110
100	 MRUA	 17S	 0000002110
100	 MRUA	 19J	 0000002110
100	 MRUA	 21E	 0000002610
100	 MRUA	 28AC	 0000002310
100	 MRUA	 30M	 0000002200
100	 MRUA	 85A	 0000002610
100	 MRUA	 85B	 0000002410
100	 MRUA	 85E	 0000002110
100	 MRUA	 85F	 0000002120
100	 MRUA	 85K	 0000002200
100	 MRUA	 88H	 0000002710
100	 POLA	 0000000043	 0000001610
100	 POLA	 0000000070	 0000002510
100	 POLA	 0000000241	 0000002410
100	 POLA	 0000000274	 0000002410
100	 POLA	 0000000275	 0000002410
100	 POLA	 0000000290	 0000002410
100	 POLA	 0000000291	 0000002410
100	 POLA	 0000000299	 0000002410
100	 POLA	 0000000702	 0000002510
100	 POLA	 0000001610	 0000001610
100	 POLA	 0000002110	 0000002110
100	 POLA	 0000002120	 0000002120
100	 POLA	 0000002200	 0000002200
100	 POLA	 0000002410	 0000002410
100	 POLA	 10D	 0000002110
100	 POLA	 10R	 0000002120
100	 POLA	 16C	 0000002120
100	 POLA	 16J	 0000002120
100	 POLA	 17B	 0000002110
100	 POLA	 17F	 0000002110
100	 POLA	 30M	 0000002200
100	 POLA	 49S	 0000001610
100	 POLA	 82F	 0000002120
100	 POLA	 85B	 0000002410
100	 POLA	 85E	 0000002110
100	 POLA	 85F	 0000002120
100	 POLA	 85K	 0000002200
100	 POLA	 88Q	 0000002410
100	 POLA	 88Z	 0000002410
