Table for profit centre derivation rules


MANDT	 VTWEG	 PGC	 CLASS	 REP_PGC	 REP_GAC	 PRCTR
X	 X	 X	 X	 	 	
Client	 Distribution Channel	 Product Group Code	 Not More Closely Defined Area, Possibly Used for Patchlevels	 Reporting PGC	 Reporting GAC	 Profit Center
MANDT-CLNT(3)	 VTWEG-CHAR(2)	 RKEG_WW007-CHAR(4)	 CHAR4-CHAR(4)	 RKEG_WW007-CHAR(4)	 RKEG_WW006-CHAR(4)	 PRCTR-CHAR(10)
100	 01	 101	 	 101	 10A	 0000002110
100	 01	 102	 	 102	 10A	 0000002110
100	 01	 108	 	 108	 10B	 0000002120
100	 01	 10E	 	 10E	 10D	 0000002110
100	 01	 10F	 	 10F	 10D	 0000002110
100	 01	 10G	 	 10G	 10D	 0000002110
100	 01	 10H	 	 10H	 10D	 0000002110
100	 01	 10J	 	 10J	 10D	 0000002110
100	 01	 10L	 	 10L	 10L	 0000005410
100	 01	 10S	 	 10S	 10R	 0000002120
100	 01	 10T	 	 10T	 10R	 0000002120
100	 01	 10U	 	 10U	 10R	 0000002120
100	 01	 110	 	 110	 11	 0000002120
100	 01	 111	 	 111	 11	 0000002120
100	 01	 112	 	 112	 11	 0000002120
100	 01	 113	 	 113	 11	 0000002120
100	 01	 115	 	 115	 11	 0000002120
100	 01	 117	 	 117	 11	 0000002120
100	 01	 11L	 	 11L	 11L	 0000005410
100	 01	 123	 	 123	 12C	 0000002510
100	 01	 124	 	 124	 12C	 0000002510
100	 01	 125	 	 125	 12C	 0000002510
100	 01	 126	 	 126	 12C	 0000002510
100	 01	 12L	 	 12L	 12L	 0000005410
100	 01	 130	 	 130	 13	 0000002120
100	 01	 131	 	 131	 13	 0000002120
100	 01	 133	 	 133	 13	 0000002120
100	 01	 134	 	 134	 13	 0000002120
100	 01	 136	 	 136	 13	 0000002120
100	 01	 137	 	 137	 13	 0000002120
100	 01	 13L	 	 13L	 13L	 0000005410
100	 01	 140	 	 140	 14	 0000002120
100	 01	 142	 	 142	 14	 0000002120
100	 01	 144	 	 144	 14	 0000002120
100	 01	 147	 	 147	 14	 0000002120
100	 01	 14L	 	 14L	 14L	 0000005410
100	 01	 150	 	 150	 15	 0000002510
100	 01	 151	 	 151	 15	 0000002510
100	 01	 152	 	 152	 15C	 0000002510
100	 01	 153	 	 153	 15C	 0000002510
100	 01	 154	 	 154	 15	 0000002510
100	 01	 156	 	 156	 15	 0000002510
100	 01	 157	 	 157	 15	 0000002510
100	 01	 158	 	 158	 15	 0000002510
100	 01	 15L	 	 15L	 15L	 0000005410
100	 01	 15M	 	 15M	 15M	 0000002510
100	 01	 160	 	 160	 16C	 0000002120
100	 01	 161	 	 161	 10R	 0000002120
100	 01	 162	 	 162	 17F	 0000002110
100	 01	 163	 	 163	 17F	 0000002110
100	 01	 164	 	 164	 10D	 0000002110
100	 01	 165	 	 165	 19J	 0000002110
100	 01	 167	 	 167	 16F	 0000002120
100	 01	 168	 	 168	 10D	 0000002110
100	 01	 16B	 	 16B	 16A	 0000002120
100	 01	 16D	 	 16D	 16C	 0000002120
100	 01	 16E	 	 16E	 16C	 0000002120
100	 01	 16G	 	 16G	 16F	 0000002120
100	 01	 16H	 	 16H	 16F	 0000002120
100	 01	 16K	 	 16K	 16J	 0000002120
100	 01	 16L	 	 16L	 16L	 0000005410
100	 01	 16M	 	 16M	 16J	 0000002120
100	 01	 16N	 	 16N	 16J	 0000002120
100	 01	 16P	 	 16P	 16J	 0000002120
100	 01	 16Q	 	 16Q	 16J	 0000002120
100	 01	 16U	 	 16U	 16J	 0000002120
100	 01	 16V	 	 16V	 16J	 0000002120
100	 01	 16X	 	 16X	 16J	 0000002120
100	 01	 16Y	 	 16Y	 16J	 0000002120
100	 01	 170	 	 170	 17	 0000002110
100	 01	 171	 	 171	 17	 0000002110
100	 01	 172	 	 172	 17	 0000002110
100	 01	 173	 	 173	 17	 0000002110
100	 01	 174	 	 174	 17	 0000002110
100	 01	 177	 	 177	 17	 0000002110
100	 01	 17A	 	 17A	 17A	 0000002110
100	 01	 17C	 	 17C	 17B	 0000002110
100	 01	 17D	 	 17D	 17B	 0000002110
100	 01	 17E	 	 17E	 17B	 0000002110
100	 01	 17G	 	 17G	 17F	 0000002110
100	 01	 17H	 	 17H	 17F	 0000002110
100	 01	 17J	 	 17J	 17F	 0000002110
100	 01	 17K	 	 17K	 17F	 0000002110
100	 01	 17L	 	 17L	 17L	 0000005410
100	 01	 17M	 	 17M	 17F	 0000002110
100	 01	 17P	 	 17P	 17N	 0000002110
100	 01	 17Q	 	 17Q	 17N	 0000002110
100	 01	 17R	 	 17R	 17S	 0000002110
