Tcodes linked with single role


MANDT	 AGR_NAME	 TCODE
X	 X	 X
Client	 Role Name	 Extended program name
MANDT-CLNT(3)	 AGR_NAME-CHAR(30)	 EXTDREPORT-CHAR(48)
100	 ZCQCA_RDC_CO_REPORTING	 2KEE
100	 ZCQCA_RDC_CO_REPORTING	 GCAC
100	 ZCQCA_RDC_CO_REPORTING	 GR55
100	 ZCQCA_RDC_CO_REPORTING	 KA23
100	 ZCQCA_RDC_CO_REPORTING	 KABL
100	 ZCQCA_RDC_CO_REPORTING	 KAL7
100	 ZCQCA_RDC_CO_REPORTING	 KALR
100	 ZCQCA_RDC_CO_REPORTING	 KE24
100	 ZCQCA_RDC_CO_REPORTING	 KE25
100	 ZCQCA_RDC_CO_REPORTING	 KE30
100	 ZCQCA_RDC_CO_REPORTING	 KE33
100	 ZCQCA_RDC_CO_REPORTING	 KE5X
100	 ZCQCA_RDC_CO_REPORTING	 KE5Y
100	 ZCQCA_RDC_CO_REPORTING	 KE5Z
100	 ZCQCA_RDC_CO_REPORTING	 KE80
100	 ZCQCA_RDC_CO_REPORTING	 KEAT
100	 ZCQCA_RDC_CO_REPORTING	 KK04
100	 ZCQCA_RDC_CO_REPORTING	 KKBC_HOE
100	 ZCQCA_RDC_CO_REPORTING	 KKBC_KUN
100	 ZCQCA_RDC_CO_REPORTING	 KL13
100	 ZCQCA_RDC_CO_REPORTING	 KL20
100	 ZCQCA_RDC_CO_REPORTING	 KLH3
100	 ZCQCA_RDC_CO_REPORTING	 KO2B
100	 ZCQCA_RDC_CO_REPORTING	 KOB1
100	 ZCQCA_RDC_CO_REPORTING	 KOB2
100	 ZCQCA_RDC_CO_REPORTING	 KOB4
100	 ZCQCA_RDC_CO_REPORTING	 KOBP
100	 ZCQCA_RDC_CO_REPORTING	 KOC4
100	 ZCQCA_RDC_CO_REPORTING	 KOK5
100	 ZCQCA_RDC_CO_REPORTING	 KOSRLIST_OR
100	 ZCQCA_RDC_CO_REPORTING	 KS13
100	 ZCQCA_RDC_CO_REPORTING	 KSB1
100	 ZCQCA_RDC_CO_REPORTING	 KSB2
100	 ZCQCA_RDC_CO_REPORTING	 KSB5
100	 ZCQCA_RDC_CO_REPORTING	 KSB9
100	 ZCQCA_RDC_CO_REPORTING	 KSBL
100	 ZCQCA_RDC_CO_REPORTING	 KSBP
100	 ZCQCA_RDC_CO_REPORTING	 KSBT
100	 ZCQCA_RDC_CO_REPORTING	 KVBI
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87009712
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87009717
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87009726
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87009734
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87011963
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012277
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012312
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012993
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012994
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012995
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012996
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012997
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012998
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87012999
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013000
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013001
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013002
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013003
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013004
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013005
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013006
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013007
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013008
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013009
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013010
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013011
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013012
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013013
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013014
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013015
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013016
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013017
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013018
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013019
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013325
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013326
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013327
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013328
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013329
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013330
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013331
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013332
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013333
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013334
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013335
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013336
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013337
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013339
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013340
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013341
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013342
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013343
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013344
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013345
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013346
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013347
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013348
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013349
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013350
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013351
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013352
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013354
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013355
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013598
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013599
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013600
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013601
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013602
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013603
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013604
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013605
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013606
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013607
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013608
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013609
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013610
