Relationship between region and shipto Address


MANDT	 REGION	 REG_DESCRIPTION
X	 X	
Client	 Region (State, Province, County)	 Region Description
MANDT-CLNT(3)	 REGIO-CHAR(3)	 CHAR100-CHAR(100)
100	 16	 TATARSTAN REPUBLIC
100	 23	 KRASNODAR TERRITORY
100	 26	 STAVROPOL TERRITORY
100	 29	 THE ARKHANGELSK AREA
100	 30	 THE ASTRAKHAN AREA
100	 31	 THE BELGOROD AREA
100	 32	 THE BRYANSK AREA
100	 33	 THE VLADIMIR AREA
100	 34	 THE VOLGOGRAD AREA
100	 35	 THE VOLOGDA AREA
100	 36	 THE VORONEZH AREA
100	 37	 THE IVANOVO AREA
100	 40	 THE KALUGA AREA
100	 43	 THE KIROV AREA
100	 44	 THE KOSTROMA AREA
100	 45	 THE KURGAN AREA
100	 46	 THE KURSK AREA
100	 47	 THE LENINGRAD AREA
100	 48	 THE LIPETSK AREA
100	 50	 THE MOSCOW AREA
100	 52	 NIZHNIY NOVGOROD ARE
100	 53	 THE NOVGOROD AREA
100	 57	 THE ORYOL AREA
100	 58	 THE PENZA AREA
100	 60	 THE PSKOV AREA
100	 61	 THE ROSTOV AREA
100	 62	 THE RYAZAN AREA
100	 63	 THE SAMARA AREA
100	 64	 THE SARATOV AREA
100	 67	 THE SMOLENSK AREA
100	 68	 THE TAMBOV AREA
100	 69	 THE TVER AREA
100	 71	 THE TULA AREA
100	 73	 THE ULYANOVSK AREA
100	 77	 C.MOSCOW
100	 78	 C.ST-PETERBURG
