Table for profit centre derivation rules


MANDT	 SEGMENT	 YBA
X	 X	
Client	 Segment for Segmental Reporting	 Business area
MANDT-CLNT(3)	 FB_SEGMENT-CHAR(10)	 CHAR4-CHAR(4)
100	 0000001110	 CT
100	 0000001120	 CT
100	 0000001210	 CT
100	 0000001211	 CT
100	 0000001220	 CT
100	 0000001310	 CR
100	 0000001320	 CR
100	 0000001330	 CR
100	 0000001410	 CR
100	 0000001510	 CT
100	 0000001610	 CT
100	 0000001611	 CT
100	 0000001910	 CT
100	 0000001911	 CT
100	 0000002110	 MR
100	 0000002120	 MR
100	 0000002200	 MR
100	 0000002310	 MR
100	 0000002410	 CR
100	 0000002420	 CR
100	 0000002510	 MR
100	 0000002610	 MR
100	 0000002710	 CR
100	 0000002720	 CR
100	 0000002730	 CR
100	 0000002740	 CR
100	 0000002910	 MR
100	 0000003100	 IT
100	 0000003110	 IT
100	 0000003120	 IT
100	 0000003130	 IT
100	 0000003210	 IT
100	 0000003300	 IT
100	 0000003310	 IT
100	 0000003320	 IT
100	 0000003330	 IT
100	 0000003910	 IT
100	 0000005110	 HOL
100	 0000005210	 HOL
100	 0000005310	 HOL
100	 0000005410	 HOL
100	 0000005910	 HOL
100	 0000009010	 ASAP
100	 0000009910	 COLL
100	 0000009930	 IT
100	 0000009931	 IT
100	 ADH	 IT
100	 APE	 CR
100	 APW	 CR
100	 AVR	 CT
100	 CR	 CR
100	 CRS	 CR
100	 CTV	 CT
100	 GAE	 CT
100	 GAS	 CT
100	 GPP	 CT
100	 MRS	 MR
100	 PAD	 CT
100	 QAA	 CT
100	 QAM	 CT
100	 RAIG	 CR
100	 RAIP	 CR
100	 RCRS	 CR
100	 SED	 MR
100	 SPR	 IT
100	 UMR	 MR
100	 URE	 MR
