Generated Table for View ZBIW_0SD_TVZBT


MANDT	 SPRAS	 VTEXT	 ZTERM
X	 X	 X	 X
Client	 Language Key	 Description of terms of payment	 Terms of Payment Key
MANDT-CLNT(3)	 SPRAS-LANG(1)	 TEXT30-CHAR(30)	 ZTERM-CHAR(4)
100	 1	 	
100	 1	 	 0010
100	 1	 	 0011
100	 1	 	 0012
100	 1	 	 0014
100	 1	 	 0015
100	 1	 	 0016
100	 1	 	 0017
100	 1	 5 天内 3% 现金折扣	 IK00
100	 1	 16 天   2%, 31 净日	 LVT0
100	 1	 10 天   3%, 16  2%, 31 净	 MVT0
100	 1	 99 % 永远	 WALL
100	 1	 12 净日	 WL01
100	 1	 100%预付款	 Y000
100	 1	 发货即付	 Y001
100	 1	 30天期票	 YC30
100	 1	 60天期票	 YC60
100	 1	 发票后即付现金	 YCDA
100	 1	 发票后7天付款	 YD07
100	 1	 发票后14天付款	 YD14
100	 1	 发票后15天付款	 YD15
100	 1	 发票后365天付款	 YD1Y
100	 1	 发票后21天付款	 YD21
100	 1	 发票后30天付款	 YD30
100	 1	 发票35天付款	 YD35
100	 1	 发票后40天付款	 YD40
100	 1	 发票后45天付款	 YD45
100	 1	 发票后120天付款	 YD4M
100	 1	 发票后150天付款	 YD5M
100	 1	 发票后60天付款	 YD60
100	 1	 发票后180天付款	 YD6M
100	 1	 发票后75天付款	 YD75
100	 1	 发票后90天付款	 YD90
100	 1	 1月付款	 YE01
100	 1	 2月付款	 YE02
100	 1	 3月付款	 YE03
100	 1	 4月付款	 YE04
100	 1	 5月付款	 YE05
100	 1	 6月付款	 YE06
100	 1	 7月付款	 YE07
100	 1	 8月付款	 YE08
100	 1	 9月付款	 YE09
100	 1	 10月付款	 YE10
100	 1	 11月付款	 YE11
100	 1	 12月付款	 YE12
100	 1	 1年分期付款	 YIY1
100	 1	 即期信用证	 YL00
100	 1	 360天信用证	 YL1Y
100	 1	 30天信用证	 YL30
100	 1	 45天信用证	 YL45
100	 1	 120天信用证	 YL4M
100	 1	 60天信用证	 YL60
100	 1	 180天信用证	 YL6M
100	 1	 90天信用证	 YL90
100	 1	 发货后1个月付款(集团内部公司）	 YM01
100	 1	 发货后2个月付款(集团内部公司）	 YM02
100	 1	 发货后25天付款	 YM25
100	 1	 发货后45天付款	 YM45
100	 1	 发货后55天付款	 YM55
100	 1	 即期票据	 YP00
100	 1	 30天即期票据	 YP30
