Atlas Copco Operatin


MANDT	 PALEDGER	 VRGAR	 VERSI	 PERIO	 PAOBJNR	 PASUBNR	 BELNR	 POSNR	 HZDAT	 USNAM	 GJAHR	 PERDE	 WADAT	 FADAT	 BUDAT	 ALTPERIO	 PAPAOBJNR	 PAPASUBNR	 KNDNR	 ARTNR	 FKART	 FRWAE	 KURSF	 KURSBK	 KURSKZ	 REC_WAERS	 KAUFN	 KDPOS	 RKAUFNR	 SKOST	 PRZNR	 BUKRS	 KOKRS	 WERKS	 GSBER	 VKORG	 VTWEG	 SPART	 HRKFT	 PLIKZ	 KSTAR	 PSPNR	 KSTRG	 RBELN	 RPOSN	 STO_BELNR	 STO_POSNR	 PRCTR	 PPRCTR	 RKESTATU	 TIMESTMP	 COPA_AWTYP	 COPA_AWORG	 COPA_BWZPT	 COPA_AWSYS	 AUART	 BEMOT	 EQUNR	 PRODH	 WW001	 WW002	 WW003	 WW004	 WW005	 WW006	 WW007	 VKBUR	 KUNWE	 KTGRD	 WW008	 WW009	 MATKL	 VV010_ME	 ABSMG_ME	 VV010	 VV100	 VV110	 VV200	 VV300	 VV400	 VV500	 VV600	 VV120	 VV101	 VV199	 VV111	 VV112	 VV130	 VV140	 VV150	 VV650	 VV700	 VV710	 VV720	 VV113	 VV114	 VV115	 VV116	 VV117	 VV118	 VV730	 ABSMG
X	 X	 X	 X	 X	 X	 X	 X	 X	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Client	 Currency type for an operating concern	 Record Type	 Plan version (CO-PA)	 Period/year	 Profitability Segment Number (CO-PA)	 Profitability segment changes (CO-PA)	 Document number of line item in Profitability Analysis	 Item no. of CO-PA line item	 Date on Which Record Was Created	 Created by	 Fiscal Year	 Period	 Goods Issue Date	 Invoice date (date created)	 Posting Date	 Period/year in alternative period type	 Partner profitability segment number (CO-PA)	 Changes to partner profitability segments (CO-PA)	 Customer	 Product number	 Billing Type	 Foreign currency key	 Exchange rate	 Exchange rate for op.concern currency -> Co.code currency	 Exchange rate op.concern currency -> group currency	 Currency of the data record	 Sales Order Number	 Item Number in Sales Order	 Order Number	 Sender cost center	 Sender Business Process	 Company Code	 Controlling Area	 Plant	 Business Area	 Sales Organization	 Distribution Channel	 Division	 Origins (CO-PA)	 Plan/Actual Indicator	 Cost Element	 Work Breakdown Structure Element (WBS Element)	 Cost Object	 Reference document number for CO-PA line item	 Item number from reference document (CO-PA)	 Canceled document	 Canceled document item	 Profit Center	 Partner Profit Center	 Update status for CO-PA line items	 Time created (Greenwich Meantime)	 Reference Transaction	 Reference Organizational Units	 CO-PA Point of valuation	 Logical system of source document	 Order Type	 Accounting Indicator	 Equipment Number	 Product hierarchy	 Account Type	 PLC	 Accounting Indicator	 Contract	 Sales Document Type	 GAC	 PGC	 Sales Office	 Ship-to party	 Account assignment group for this customer	 Sales district	 Country Ship-to	 Material Group	 Base Unit of Measure	 Base Unit of Measure	 Labour Hours	 Revenues	 Commercial Discount	 Parts	 Labour	 Mileage	 Subcontracting	 Ad Hoc Expenses	 Transport cost charg	 Recognized Revenue	 Recognized Cost	 Recognized Discounts	 COGS-Contract provis	 Unadjusted COS	 Commission - extern	 Commissions - interc	 Freight charged	 Quality cost	 Warranty Cost & Prov	 Adjustments	 Cash discount	 Fix Price Accruals	 Freight charged by	 to be defined	 to be defined	 to be defined	 Obsolescence	 Sales quantity
MANDT-CLNT(3)	 LEDBO-CHAR(2)	 VRGAR-CHAR(1)	 COVERSI-CHAR(3)	 JAHRPER-NUMC(7)	 RKEOBJNR-NUMC(10)	 RKESUBNR-NUMC(4)	 BELNR-CHAR(10)	 RKE_POSNR-CHAR(6)	 DATUM-DATS(8)	 USNAM-CHAR(12)	 GJAHR-NUMC(4)	 NUM3-NUMC(3)	 DATUM-DATS(8)	 DATUM-DATS(8)	 DATUM-DATS(8)	 JAHRPER-NUMC(7)	 RKEOBJNR-NUMC(10)	 RKESUBNR-NUMC(4)	 KUNNR-CHAR(10)	 MATNR-CHAR(18)	 FKART-CHAR(4)	 WAERS-CUKY(5)	 KURSF-DEC(9)	 KURSF-DEC(9)	 KURSF-DEC(9)	 WAERS-CUKY(5)	 VBELN-CHAR(10)	 NUM06-NUMC(6)	 AUFNR-CHAR(12)	 KOSTL-CHAR(10)	 CO_PRZNR-CHAR(12)	 BUKRS-CHAR(4)	 CACCD-CHAR(4)	 WERKS-CHAR(4)	 GSBER-CHAR(4)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 RKEHERK-CHAR(4)	 PLIKZ-CHAR(1)	 KSTAR-CHAR(10)	 PS_POSNR-NUMC(8)	 KSTRG-CHAR(12)	 BELNR-CHAR(10)	 RKE_POSNR-CHAR(6)	 BELNR-CHAR(10)	 RKE_POSNR-CHAR(6)	 PRCTR-CHAR(10)	 PRCTR-CHAR(10)	 RKESTATU-CHAR(10)	 RKE_TSTMP-DEC(16)	 AWTYP-CHAR(5)	 AWORG-CHAR(10)	 BWZPT-CHAR(1)	 LOGSYS-CHAR(10)	 AUFART-CHAR(4)	 BEMOT-CHAR(2)	 EQUNR-CHAR(18)	 PRODH-CHAR(18)	 RKEG_WW001-CHAR(1)	 RKEG_WW002-CHAR(3)	 RKEG_WW003-CHAR(2)	 CHAR10-CHAR(10)	 AUART-CHAR(4)	 RKEG_WW006-CHAR(4)	 RKEG_WW007-CHAR(4)	 VKBUR-CHAR(4)	 KUNNR-CHAR(10)	 KTGRD-CHAR(2)	 BZIRK-CHAR(6)	 LAND1-CHAR(3)	 MATKL-CHAR(9)	 MEINS-UNIT(3)	 MEINS-UNIT(3)	 MENGV15_3-QUAN(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 WERTV8-CURR(15)	 MENGV15_3-QUAN(15)
100	 01	 A	 	 2012004	 0000001711	 0001	 0000000221	 	 20120102	 SSCJWU	 2012	 004	 00000000	 20120104	 20120102	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000004	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000010	 	 	 49P	 	 	 6943393020000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 10.46 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 10.46 	 0.00 	 0.00 	 0.16 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 02	 A	 	 2012004	 0000001711	 0001	 0000000221	 	 20120102	 SSCJWU	 2012	 004	 00000000	 20120104	 20120102	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000004	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000010	 	 	 49P	 	 	 6943393020000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 1.50 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 01	 A	 	 2012004	 0000001712	 0001	 0000000222	 	 20120102	 SSCJWU	 2012	 004	 00000000	 20120104	 20120102	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000004	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000020	 	 	 49P	 	 	 6943393020000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 20.93 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 20.93 	 0.00 	 0.00 	 0.31 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
100	 02	 A	 	 2012004	 0000001712	 0001	 0000000222	 	 20120102	 SSCJWU	 2012	 004	 00000000	 20120104	 20120102	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000004	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000020	 	 	 49P	 	 	 6943393020000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 200.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 200.00 	 0.00 	 0.00 	 3.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
100	 01	 A	 	 2012004	 0000001719	 0001	 0000000223	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000005	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000005	 000010	 	 	 49P	 	 	 6944284970000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000005	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 10.46 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 10.46 	 0.00 	 0.00 	 0.16 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 02	 A	 	 2012004	 0000001719	 0001	 0000000223	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000005	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000005	 000010	 	 	 49P	 	 	 6944284970000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000005	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 1.50 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 01	 A	 	 2012004	 0000001720	 0001	 0000000224	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000005	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000005	 000020	 	 	 49P	 	 	 6944284970000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000005	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 20.93 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 20.93 	 0.00 	 0.00 	 0.31 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
