Text table for the field MAJOR of ZCWU_TOOL_SPEC


MANDT	 MAJOR	 SPRAS	 TEXT
X	 X	 X	
Client	 Version Number Component	 Language Key	 Name of target host
MANDT-CLNT(3)	 CHAR2-CHAR(2)	 SPRAS-LANG(1)	 RFCHOST-CHAR(100)
100	 00	 E	 N/A
100	 01	 1	 BDC
100	 01	 E	 BDC
100	 02	 E	 Character Manipulation
100	 03	 E	 Logging and tracking
100	 04	 E	 HTTP
100	 05	 E	 EXCEL manipulation
100	 06	 E	 ALV
100	 07	 E	 Smart form
100	 08	 E	 Useful Tool
100	 09	 E	 Enhancement
100	 10	 E	 Picture munipulation
100	 12	 E	 PDF
