FSAU: Maintain Critical Field information


MANDT	 ZMODULE	 SUBMOD	 TABNAME	 FIELDNAME	 VALUE	 BLANK	 NODISP	 SEQUENCE
X	 X	 X	 X	 X	 	 	 	
Client	 Module Name	 Sub Module Name	 Table Name	 Field Name	 Field value	 Data content X or blank	 No Display	 Sequence Number
MANDT-CLNT(3)	 ZINF_FSA_MOD_NAME-CHAR(20)	 ZINFY_FSA_MODULE_NAME-CHAR(20)	 AS4TAB-CHAR(30)	 FDNAME-CHAR(30)	 F4CHAR132-CHAR(132)	 XFELD-CHAR(1)	 XFELD-CHAR(1)	 NUMC3-NUMC(3)
100	 CO	 CE MSTR	 CSKB	 DATBI	 	 	 	 004
100	 CO	 CE MSTR	 CSKB	 DEAKT	 	 	 	 006
100	 CO	 CE MSTR	 CSKB	 KATYP	 	 	 	 005
100	 CO	 CE MSTR	 CSKB	 KOKRS	 	 	 	 002
100	 CO	 CE MSTR	 CSKB	 KSTAR	 	 	 	 003
100	 CO	 CE MSTR	 CSKB	 LOEVM	 	 	 	 007
100	 CO	 CE MSTR	 CSKB	 MANDT	 	 	 	 001
100	 CO	 CE MSTR	 CSKU	 KTEXT	 	 	 	 002
100	 CO	 CO DOC	 COBK	 AWORG_REV	 	 	 	 020
100	 CO	 CO DOC	 COBK	 AWREF_REV	 	 	 	 019
100	 CO	 CO DOC	 COBK	 AWTYP	 	 	 	 018
100	 CO	 CO DOC	 COBK	 BLART	 	 	 	 014
100	 CO	 CO DOC	 COBK	 GJAHR	 	 	 	 004
100	 CO	 CO DOC	 COBK	 KOKRS	 	 	 	 002
100	 CO	 CO DOC	 COBK	 KURST	 	 	 	 016
100	 CO	 CO DOC	 COBK	 KWAER	 	 	 	 017
100	 CO	 CO DOC	 COBK	 ORGVG	 	 	 	 015
100	 CO	 CO DOC	 COBK	 REFBK	 	 	 	 013
100	 CO	 CO DOC	 COBK	 REFBT	 	 	 	 011
100	 CO	 CO DOC	 COBK	 STOKZ	 	 	 	 010
100	 CO	 CS MSTR	 CSKS	 BKZER	 	 	 	 011
100	 CO	 CS MSTR	 CSKS	 BKZKS	 	 	 	 005
100	 CO	 CS MSTR	 CSKS	 BUKRS	 	 	 	 006
100	 CO	 CS MSTR	 CSKS	 DATBI	 	 	 	 004
100	 CO	 CS MSTR	 CSKS	 GSBER	 	 	 	 007
100	 CO	 CS MSTR	 CSKS	 KOKRS	 	 	 	 001
100	 CO	 CS MSTR	 CSKS	 KOSAR	 	 	 	 008
100	 CO	 CS MSTR	 CSKS	 LAND1	 	 	 	 012
100	 CO	 CS MSTR	 CSKS	 PRCTR	 	 	 	 010
100	 CO	 CS MSTR	 CSKS	 WAERS	 	 	 	 009
100	 CO	 IO MSTR	 COAS	 AUART	 	 	 	 004
100	 CO	 IO MSTR	 COAS	 AUTYP	 	 	 	 005
100	 CO	 IO MSTR	 COAS	 BUKRS	 	 	 	 008
100	 CO	 IO MSTR	 COAS	 GSBER	 	 	 	 011
100	 CO	 IO MSTR	 COAS	 KOKRS	 	 	 	 002
100	 CO	 IO MSTR	 COAS	 KTEXT	 	 	 	 006
100	 CO	 IO MSTR	 COAS	 LOEKZ	 	 	 	 009
100	 CO	 IO MSTR	 COAS	 LTEXT	 	 	 	 007
100	 CO	 IO MSTR	 COAS	 PRCTR	 	 	 	 013
100	 CO	 IO MSTR	 COAS	 WAERS	 	 	 	 012
100	 CO	 IO MSTR	 COAS	 WERKS	 	 	 	 010
100	 CO	 PC MSTR	 CEPC	 ANRED	 	 	 	 003
100	 CO	 PC MSTR	 CEPC	 BUKRS	 	 	 	 004
100	 CO	 PC MSTR	 CEPC	 DATBI	 	 	 	 005
100	 CO	 PC MSTR	 CEPC	 KOKRS	 	 	 	 001
100	 CO	 PC MSTR	 CEPC	 LAND1	 	 	 	 007
100	 CO	 PC MSTR	 CEPC	 LOCK_IND	 	 	 	 008
100	 CO	 PC MSTR	 CEPC	 PRCTR	 	 	 	 002
100	 CO	 PC MSTR	 CEPC	 WAERS	 	 	 	 006
100	 CO	 PC MSTR	 CEPCT	 KTEXT	 	 	 	 003
100	 CS	 CONFIRMATIONS	 AFRU	 AUFNR	 	 	 	 004
100	 CS	 CONFIRMATIONS	 AFRU	 BEMOT	 	 	 	 003
100	 CS	 CONFIRMATIONS	 AFRU	 ISMNW	 	 	 	 002
100	 CS	 CONFIRMATIONS	 AFRU	 RUECK	 	 	 	 001
100	 CS	 EQUIPMENT	 ITOB	 BUKRS	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 DATBI	 99991231	 	 X	 000
100	 CS	 EQUIPMENT	 ITOB	 EQART	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 EQTYP	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 HERST	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 INGRP	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 IWERK	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 KUNDE	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 SPART	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 VKORG	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 VTWEG	 	 	 	 000
100	 CS	 EQUIPMENT	 ITOB	 WERK	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 INGRP	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 IWERK	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 LGWID	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 SUBMT	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 TPLMA	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 IFLOT	 TPLNR	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 ABCKZ	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 SPART	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 SWERK	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 VKBUR	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 VKGRP	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 VKORG	 	 	 	 000
100	 CS	 FUNCTIONAL_LOCATIONS	 ILOA	 VTWEG	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 AUART	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 EQUNR	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 GEWRK	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 IWERK	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 KDAUF	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 KDPOS	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 PLNTY	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 QMART	 	 	 	 000
100	 CS	 MAINTENANCE_PLAN	 MPOS	 WSTRA	 	 	 	 000
100	 CS	 MEASURING_POINT	 IMPTT	 MLANG	 	 	 	 002
100	 CS	 MEASURING_POINT	 IMPTT	 POINT	 	 	 	 001
100	 CS	 MEASURING_POINT	 IMRG	 CDIFFI	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 ARBPL	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 BUKRS	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 IWERK	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 KDAUF	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 KOKRS	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 PRIOK	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 QMART	 X1,X2,X3,X4,X5,X6,X7,X8,X9,XA,XB	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 SPART	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 SWERK	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 VKORG	 	 	 	 000
100	 CS	 NOTIFICATIONS	 VIQMEL	 VTWEG	 	 	 	 000
100	 CS	 ORDERS	 AFIH	 EQUNR	 	 	 	 000
100	 CS	 ORDERS	 AFIH	 ILOAN	 	 	 	 000
100	 CS	 ORDERS	 AFIH	 INGPR	 	 	 	 000
100	 CS	 ORDERS	 AFIH	 IWERK	 	 	 	 000
