Table ZSTC_EQUI_BRAND Text Table


MANDT	 EQUIPMENT_BRAND	 SPRAS	 DESCRIPTION
X	 X	 X	
Client	 30 Characters	 Language Key	 MAM2- Description
MANDT-CLNT(3)	 CHAR30-CHAR(30)	 SPRAS-LANG(1)	 ZSTC_DESCRIPTION_LC-CHAR(40)
100	 ABAC	 E	 ABAC
100	 ALUP	 E	 ALUP
100	 ATLAS COPCO	 E	 Atlas Copco
100	 CECCATO	 E	 CECCATO
100	 CHICAGO PNEUMATIC	 E	 CHICAGO PNEUMATIC
100	 CP GEORGES RENAULT	 E	 CP GEORGES RENAULT
100	 DESOUTTER	 E	 DESOUTTER
100	 DYNAPAC	 E	 Dynapac
100	 FUJI AIR TOOLS	 E	 FUJI AIR TOOLS
100	 IRMER ELZE	 E	 Irme Elze
100	 LIUTECH	 E	 Liutech
100	 MARK	 E	 Mark
100	 MICROTEC	 E	 MICROTEC
100	 PNEUMATECH	 E	 PNEUMATECH
100	 RODCRAFT	 E	 RODCRAFT
100	 WORTINGTON	 E	 WORTINGTON
