MAN2 - Equipment type text table


MANDT	 EQUIPMENT_TYPE	 SPRAS	 DESCRIPTION
X	 X	 X	
Client	 30 Characters	 Language Key	 MAM2- Description
MANDT-CLNT(3)	 CHAR30-CHAR(30)	 SPRAS-LANG(1)	 ZSTC_DESCRIPTION_LC-CHAR(40)
100	 AFTERCOOLER	 E	 After Cooler
100	 AIR RECEIVER	 E	 Air Receiver
100	 COMPRESSOR	 E	 Compressor
100	 COOLING UNIT	 E	 Cooling Unit
100	 DRYER	 E	 Dryer
100	 ES	 E	 ES
100	 FILTER	 E	 Filter
100	 GENERATOR	 E	 Generator
100	 OIL SEPARATOR	 E	 Oil Separator
100	 WATER DRAIN	 E	 Water Drain
100	 WATER SEPARATOR	 E	 Water Separator
