Pre Checks CS


MANDT	 PROGRAMN	 CHECKS	 CHECKLD	 PRIO
X	 X	 X	 	
Client	 Program Name	 Check List	 check List Description	 Priority
MANDT-CLNT(3)	 COMP_PROGRAMM-CHAR(40)	 CHAR40-CHAR(40)	 CHAR100-CHAR(100)	 CSLPR-NUMC(2)
100	 IQQ	 ACTCONTRACT	 CHECK OTHER ACTIVE CONTRACT	 00
100	 IQQ	 BUSIND	 CHECK BUSINESS INDICATOR	 00
100	 IQQ	 COMPC	 CHECK COMPANY CODE	 00
100	 IQQ	 CUSTBL	 CHECK CUSTOMER BLOCKED	 00
100	 IQQ	 EQACT	 CHECK EQUIPMENT IS ACTIVE	 00
100	 IQQ	 EQCAT	 CHECK EQUIPMENT CATEGORY	 00
100	 IQQ	 EQUNR	 CHECK EQUIPMENT NUMBER	 00
100	 IQQ	 FL3	 CHECK FUNCTIONAL LOCATION LEVEL 3	 00
100	 IQQ	 PARTNER	 CHECK PARTNERS	 00
100	 IQQ	 PARTS	 CHECK PARTS	 00
100	 IQQ	 VISIT	 CHECK VISIT	 00
100	 IQQ	 WORKC	 CHECK WORKCENTER	 00
