AM: Planning group communication info


MANDT	 WERKS	 EKGRP
X	 X	 X
MANDT-CLNT(3)	 WERKS-CHAR(4)	 EKGRP-CHAR(3)
100	 CD01	 200
100	 CD90	 200
100	 CN01	 001
100	 CN02	 001
100	 CN03	 001
100	 CN04	 001
100	 CN05	 001
100	 CN06	 001
100	 CN07	 001
100	 CN08	 001
100	 CN09	 012
100	 CN10	 012
100	 CN11	 002
100	 CN12	 002
100	 CN13	 002
100	 CN14	 002
100	 CN15	 002
100	 CN16	 002
100	 CN17	 003
100	 CN18	 001
100	 CN19	 001
100	 CN20	 003
100	 CN21	 003
100	 CN22	 002
100	 CN23	 002
100	 CN24	 003
100	 CN25	 012
100	 CN26	 012
100	 CN28	 001
100	 CN31	 002
100	 CN32	 002
100	 CN33	 002
100	 CN34	 002
100	 CN35	 002
100	 CN36	 002
100	 CN37	 002
100	 CN40	 001
100	 CN41	 001
100	 CN42	 001
100	 CN43	 001
100	 CN61	 001
100	 CN62	 001
100	 CN71	 002
100	 CN72	 002
100	 CN73	 002
100	 CN74	 002
100	 CN75	 002
100	 CN76	 002
100	 CN77	 002
100	 CN78	 002
100	 CN79	 002
100	 CN80	 002
100	 CN81	 002
100	 CN82	 002
100	 CN83	 002
100	 CN84	 002
100	 CN85	 002
100	 CN86	 002
100	 CN90	 001
100	 CN91	 001
100	 CN92	 001
100	 CN93	 002
100	 CN94	 001
100	 CN95	 001
100	 HK01	 004
100	 HK02	 013
100	 HK04	 005
100	 HK05	 006
100	 HK11	 005
100	 HK12	 005
100	 HK13	 005
100	 HK14	 005
100	 HK15	 005
100	 HK16	 005
100	 HK17	 005
100	 HK90	 004
100	 PL01	 007
100	 PL02	 007
100	 PL03	 014
100	 PL04	 014
100	 PL05	 014
100	 PL06	 014
100	 PL07	 008
100	 PL09	 007
100	 PL10	 007
100	 PL11	 014
100	 PL12	 008
100	 PL13	 008
100	 PL14	 008
100	 PL15	 007
100	 PL16	 008
100	 PL17	 056
100	 PL90	 007
100	 RU01	 016
100	 RU02	 016
100	 RU03	 016
100	 RU04	 016
100	 RU05	 016
100	 RU06	 016
100	 RU07	 016
100	 RU08	 016
100	 RU09	 016
100	 RU10	 016
100	 RU11	 016
100	 RU12	 016
100	 RU13	 016
100	 RU14	 016
100	 RU15	 018
100	 RU16	 016
100	 RU20	 018
100	 RU21	 016
100	 RU50	 017
100	 RU51	 017
100	 RU52	 017
100	 RU53	 017
100	 RU54	 017
100	 RU55	 017
100	 RU56	 017
100	 RU57	 017
100	 RU58	 017
100	 RU59	 017
100	 RU60	 017
100	 RU61	 017
100	 RU62	 017
100	 RU63	 017
100	 RU64	 017
100	 RU70	 019
100	 RU71	 019
100	 RU72	 019
100	 RU73	 019
100	 RU74	 019
100	 RU75	 019
100	 RU90	 016
100	 XR70	 201
100	 XR71	 201
100	 XR72	 201
